"taxon","stamenNumber","filament_color","nectary_presence","InfType","CalShape","FlowMerosity","inflorescence_peduncle_length_mean","inflorescence_length_mean","CalLengthMean","ColLengthMean","FilLengthMean","rate"
"Mimosa myriadenia",NA,0,NA,0,0,2,50,NA,0.6,1.55,1.85,0.00314226927948976
"Mimosa annularis",2,0,NA,2,0,2,7.5,NA,0.7,2,3,0.00670524803754279
"Mimosa watsonii",0,0,NA,2,0,1,9.5,4.5,0.75,2.2,4.75,0.0042794694402725
"Mimosa rufescens",0,0,NA,2,0,2,6.5,NA,0.65,1.7,1.5,0.00206527001995564
"Mimosa guilandinae",2,0,NA,2,0,2,6.5,3.75,0.7,1.8,1.75,0.00302724793316252
"Mimosa colombiana",NA,0,NA,2,0,2,7,NA,0.65,2.25,2.75,0.00380156894287128
"Mimosa pithecolobioides",0,2,NA,0,0,2,22.5,NA,0.95,2.25,2.4,0.00267183353782005
"Mimosa townsendii",0,0,NA,0,0,1,12.5,11.5,0.5,2.3,5,0.00381367815213162
"Mimosa rhododactyla",2,2,NA,0,0,2,NA,NA,1.05,2.5,4.5,0.00441915020460781
"Mimosa benthamii",NA,NA,NA,0,NA,NA,NA,NA,1.4,NA,NA,0.00259591776201064
"Mimosa costenya",0,0,NA,0,0,2,NA,70,1.45,2.85,5,0.0162118191397819
"Mimosa luisana",NA,2,NA,0,0,2,17,NA,0.4,2.6,5.75,0.00331373893221583
"Mimosa adenantheroides",0,0,NA,2,0,2,22.5,14,1.65,3.15,6,0.00372987146853554
"Mimosa palmeri",0,2,NA,0,0,2,NA,65,0.9,2.55,4.75,0.00589924810946636
"Mimosa mollis",0,0,NA,2,0,2,35,NA,0.75,3.75,6.5,0.00385155370184864
"Mimosa guirocobensis",0,2,NA,0,NA,2,25,NA,2.2,3.6,NA,0.00454776011139922
"Mimosa guatemalensis",2,2,NA,0,0,2,NA,97.5,1.7,2.95,5.25,0.0036454789441668
"Mimosa egregia",0,0,NA,0,0,2,NA,NA,0.9,2.25,5,0.00515393899928679
"Mimosa spirocarpa",0,0,NA,0,0,2,NA,80,1.2,2.45,5.75,0.00470157686796604
"Mimosa xochipalensis",NA,2,NA,0,0,2,50,NA,1.25,2.5,5.5,0.00276059433624855
"Mimosa polyantha",0,0,NA,0,0,2,NA,30,0.55,2.85,5.5,0.00425735410637662
"Mimosa distachya",0,0,NA,0,0,2,NA,55,0.9,2.55,6,0.00304406538747969
"Mimosa rosei",NA,2,NA,0,0,2,NA,65,0.75,2.2,NA,0.0136601846134412
"Mimosa nanchititlana",0,0,NA,0,0,2,NA,65,1.1,2.3,4,0.00441085013438604
"Mimosa aculeaticarpa",0,0,NA,2,0,2,15,NA,1.5,2.85,3.75,0.00242937906419347
"Mimosa biuncifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00253867736266033
"Mimosa galeottii",0,0,NA,2,0,2,16,6,1.45,2.7,2.75,0.0035823411519446
"Mimosa grahamii",0,0,NA,2,0,2,25,NA,1.85,4.05,5,0.00374742420698989
"Mimosa minutifolia",0,NA,NA,2,0,2,13,7,1.4,2.8,NA,0.00257939973630753
"Mimosa lacerata",NA,NA,NA,2,NA,NA,17.5,6,0.675,NA,NA,0.00193298289529051
"Mimosa moniliformis",NA,2,NA,2,0,NA,14,9.5,0.8,3,5,0.0057617953235733
"Mimosa gentryi",NA,NA,NA,2,0,2,20,7.5,0.9,3.4,6,0.00347500264803329
"Mimosa pringlei",0,2,NA,2,0,2,16,5,0.9,NA,4.25,0.0125009777422656
"Mimosa acantholoba",0,0,NA,0,0,2,14.5,18,0.675,2.7,4.75,0.00392848627142092
"Mimosa platycarpa",NA,NA,NA,0,NA,NA,NA,25,NA,NA,NA,0.00328019439764992
"Mimosa monancistra",0,2,NA,2,0,2,10,8.5,1.2,2.4,5,0.00731611721083779
"Mimosa calcicola",0,2,NA,2,0,2,8,NA,1.45,2.95,4,0.0121364619670024
"Mimosa depauperata",1,2,NA,2,NA,1,4.5,NA,0.65,2.65,4,0.00537430413260678
"Mimosa emoryana",0,2,NA,2,0,2,15,8,1.1,3.45,5,0.00291200781974741
"Mimosa purpusii",0,2,NA,2,0,2,15,NA,0.575,3.5,7,0.0078458910026592
"Mimosa texana",NA,NA,NA,2,0,2,13,NA,1.3,NA,3.75,0.00191267187438749
"Mimosa borealis",0,2,NA,2,NA,2,16.5,6,0.65,2.45,3.75,0.00314209709264878
"Mimosa turneri",0,2,NA,2,0,2,10,NA,0.675,2.4,3.65,0.00250275363047047
"Mimosa unipinnata",2,NA,NA,2,0,1,13.5,NA,0.45,2.15,4.25,0.00751524234670523
"Mimosa zygophylla",0,2,NA,2,0,2,NA,NA,1.2,3.1,4.5,0.0038430112674158
"Mimosa arenosa",0,0,NA,0,0,1,NA,52.5,0.55,2.25,4.25,0.00195357330789142
"Mimosa tenuiflora",0,0,NA,0,0,1,NA,7.5,0.875,2.6,3.5,0.00593921137532297
"Mimosa glutinosa",0,0,NA,0,0,1,NA,65,0.3,2.6,6,0.00181857283394656
"Mimosa pteridifolia",0,2,NA,0,0,1,NA,77.5,0.9,2.05,6.25,0.00284196309256921
"Mimosa gemmulata",0,2,NA,0,0,1,NA,85,0.6,2.05,6,0.00693781900247859
"Mimosa schomburgkii",2,0,NA,0,0,2,NA,65,1.05,2.25,4,0.00481754251307873
"Mimosa bimucronata",0,0,NA,2,0,2,18,NA,0.725,2.4,5.25,0.00273971494180712
"Mimosa leucaenoides",0,2,NA,2,0,1,20,NA,1.3,2.95,4,0.00178077051101803
"Mimosa martindelcampoi",0,2,NA,2,0,2,19,NA,0.9,3.1,3.75,0.00285833299715842
"Mimosa ervendbergii",2,0,NA,2,0,2,NA,NA,1.65,3.2,5.25,0.0076548924310002
"Mimosa sinaloensis",0,0,NA,2,0,2,NA,NA,1.6,3.3,3.5,0.00480224103496747
"Mimosa hondurana",0,0,NA,2,0,1,NA,NA,0.6,2.15,NA,0.00222768764802848
"Mimosa malacophylla",0,0,NA,2,0,2,14,9.5,0.45,2.25,4.25,0.00320521194784838
"Mimosa extranea",NA,0,NA,2,0,1,38,5,0.9,2.7,2.75,0.00433389119011185
"Mimosa bahamensis",2,2,NA,2,0,2,11,NA,1.15,2.8,3.75,0.00372684972662037
