Genero,spp
Abarema Pittier,2
Acacia Mill.,1082
Acaciella Britton & Rose,15
Adenanthera L.,12
Adenopodia C. Presl,7
Afrocalliandra E.R. Souza & L.P. Queiroz,2
Alantsilodendron Villiers,11
Albizia Durazz.,90
Amblygonocarpus Harms,1
Anadenanthera Speg.,4
Anonychium (Benth.) Schweinf.,1
Archidendron F. Muell.,120
Archidendropsis I.C. Nielsen,11
Aubrevillea Pellegr.,2
Blanchetiodendron Barneby & J.W. Grimes,1
Boliviadendron E.R. Souza & C.E. Hughes,1
Calliandra Benth.,140
Calliandropsis H.M. Hern. & P. Guinet,1
Calpocalyx Harms,11
Cedrelinga Ducke,1
Chidlowia Hoyle,1
Chloroleucon Britton & Rose,10
Cojoba Britton & Rose,16
Cylicodiscus Harms,1
Desmanthus Willd.,23
Dichrostachys (DC.) Wight & Arn.,16
Ebenopsis Britton & Rose,3
Entada Adans.,40
Enterolobium Mart.,8
Faidherbia A. Chev.,1
Falcataria (I.C. Nielsen) Barneby & J.W. Grimes,3
Fillaeopsis Harms,1
Gagnebina Neck. ex DC.,7
Gretheria R. Duno & Torke,2
Gwilymia A.G. Lima,
Havardia Small,3
Heliodendron Gill.K. Br. & Bayly,3
Hesperalbizia Barneby & J.W. Grimes,1
Hydrochorea Barneby & J.W. Grimes,10
Indopiptadenia Brenan,1
Inga Mill.,300
Jupunba Britton & Rose,37
Kanaloa Lorence & K.R. Wood,1
Lachesiodendron P.G. Ribeiro,
Lemurodendron Villiers & Guinet,1
Leucaena Benth.,24
Leucochloron Barneby & J.W. Grimes,4
Lysiloma Benth.,8
Macrosamanea Britton & Rose ex Britton & Killip,12
Mariosousa Seigler & Ebinger,14
Marlimorimia L.P. Queiroz Marc.F. Simon & P.G. Ribeiro,6
Mezcala C.E. Hughes & J.L. Contr.,1
Microlobius C. Presl,1
Mimosa L.,615
Mimozyganthus Burkart,1
Naiadendron A.G. Lima,
Neltuma Raf.,30
Neptunia Lour.,22
Newtonia Baill.,11
Osodendron E.J.M. Koenen,3
Painteria Britton & Rose,2
Parapiptadenia Brenan,6
Pararchidendron I.C. Nielsen,1
Parasenegalia Seigler & Ebinger,11
Paraserianthes I.C. Nielsen,1
Parkia R. Br.,35
Pentaclethra Benth.,3
Piptadenia Benth.,28
Piptadeniastrum Brenan,1
Piptadeniopsis Burkart,1
Pithecellobium Mart.,19
Pityrocarpa,7
Plathymenia Benth.,1
Prosopidastrum Burkart,6
Prosopis L.,3
Pseudalbizzia Britton & Rose,17
Pseudoprosopis Harms,7
Pseudosamanea Harms,3
Pseudosenegalia Seigler & Ebinger,2
Punjuba Britton & Rose,5
Ricoa R. Duno & Torke,1
Robrichia (Barneby & J.W. Grimes) A.R.M. Luz & E.R. Souza,3
Samanea Merr. ,3
Sanjappa E.R. Souza & M.V. Krishnaraj,1
Schleinitzia Warb. ex J.C. Willis,4
Senegalia Raf.,219
Serianthes Benth.,18
Sphinga Barneby & J.W. Grimes,3
Strombocarpa Engelm. & A. Gray,10
Stryphnodendron Mart.,28
Sympetalandra Stapf,5
Tetrapleura Benth.,2
Thailentadopsis Kosterm.,3
Vachellia Wight & Arn.,164
Viguieranthus Villiers,18
Wallaceodendron Koord.,1
Xerocladia Harv.,1
Xylia Benth.,9
Zapoteca H.M. Hern.,22
Zygia P. Browne,60
