filename,created_at,taxon,taxon_original,method,habit,root_system,height_min,height_low,height_high,height_max,height_unit,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,bisexual_flowers_presence,male_flowers_presence,heteromorphic_flower_presence,sterile_flower_presence,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit.,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_min,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,anther_gland_presence,stemonozone_presence,stamen_tube_presence,staminal_tube_presence,intrastaminal_nectary_presence,nectary_presence,obs
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0001.txt,2025-10-02T16:41:41.345711,Calliandra_pittieri,Calliandra pittieri,automatic,shrubs and trees,NA,NA,NA,20,NA,m,capitula,hemispherical,NA,NA,NA,NA,NA,2,2,4,4,mm,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,0.4,0.9,NA,,NA,NA,yes,NA,NA,NA,1.3,3.5,NA,mm,NA,0.3,0.6,NA,mm,NA,NA,9.5,NA,mm,NA,NA,NA,NA,mm,NA,NA,NA,NA,NA,NA,2.7,3,6.2,6.2,cm,"pallid at base and crimson distally, rarely crimson throughout",NA,present,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0002.txt,2025-10-02T16:42:17.185375,Calliandra_pittieri_pittieri,Calliandra pittieri var. pittieri,automatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0003.txt,2025-10-02T16:42:53.864475,Calliandra_pittieri_polyphylla,Calliandra pittieri var. polyphylla,automatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0004.txt,2025-10-02T16:43:33.490590,Calliandra_purdiei,Calliandra purdiaei,automatic,arborescent skrubs,NA,1.5,2,8,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,2.5,5.5,NA,mm,2,2.5,5.5,NA,cm,5,0.7,1.2,2.7,NA,mm,NA,NA,NA,NA,NA,NA,NA,present,NA,NA,4,5.3,7.2,NA,mm,NA,NA,NA,NA,NA,NA,10,11.5,NA,mm,NA,2.2,3.5,NA,mm,NA,NA,NA,NA,NA,NA,4.4,NA,6.5,NA,cm,carmine,NA,present,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0005.txt,2025-10-02T16:44:13.134205,Calliandra_glomerulata,Calliandra glomerulata,automatic,shrubs,NA,1,2,8,18,m,capitula,NA,NA,1,2,NA,mm,NA,NA,NA,NA,NA,4,NA,18,NA,mm,4 (5)-merous,0.3,NA,1,NA,mm,0.5,NA,1.1,NA,mm,bisexual,staminate,dimorphic,NA,campanulate or turbinate-campanulate,1.4,1.8,3.2,NA,mm,1.2,1.6,2.7,NA,mm,NA,4.5,7.1,NA,mm,1.2,1.6,2.7,NA,mm,NA,NA,NA,NA,NA,NA,NA,30,39,NA,mm,pink-carmine,NA,obscure,staminal tube present in terminal flower,present in terminal flower,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0006.txt,2025-10-02T16:44:49.930547,Calliandra_glomerulata_glomerulata,Calliandra glomerulata var. glomerulata,automatic,NA,NA,140,NA,1400,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0007.txt,2025-10-02T16:45:25.857818,Calliandra_glomerulata_parvifolia,Calliandra glomerulata var. parvifolia,automatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0008.txt,2025-10-02T16:46:04.695550,Calliandra_cruegeri,Calliandra cruegeri,automatic,Arborescent shrubs,NA,1,2,6,NA,m,capitula,subglobose or claviform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,mm,NA,0,0,0.45,NA,mm,NA,NA,NA,NA,NA,NA,NA,yes,NA,campanulate,1.8,1.8,2.9,2.9,mm,NA,0.3,0.55,NA,mm,NA,4.3,6.2,NA,mm,NA,1.4,2,NA,mm,NA,NA,NA,NA,NA,NA,NA,17,24,NA,mm,"whitish proximally, pink distally",NA,present,NA,NA,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0009.txt,2025-10-02T16:46:44.800130,Calliandra_tolimensis,Calliandra tolimensis,automatic,arborescent shrubs,NA,2,NA,8,NA,m,capitula,clavate or subspherical,3,3,8,NA,mm,3,3,3.5,NA,mm,1.5,2,8,NA,cm,5,1,NA,3.3,NA,mm,0.8,NA,1.8,NA,mm,NA,NA,yes,NA,deeply campanulate or narrowly um-shaped,4,4,6,6,mm,NA,1.3,1.3,1.3,mm,NA,9.5,14.5,NA,mm,1.4,3.5,5.5,NA,mm,NA,NA,NA,NA,NA,30,4.4,4.4,6.6,6.6,cm,"white proximally, carmine distally",NA,present,NA,present,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0010.txt,2025-10-02T16:47:50.993319,Calliandra_laxa,Calliandra laxa,automatic,Arborescent shrubs,NA,NA,2,15,25,m,capitula,hemispherical or shortly claviform,1.5,1.5,2,NA,mm,NA,NA,NA,NA,NA,0.6,NA,6,6.5,cm,5,0.3,0.3,1.2,1.2,mm,0.6,0.6,1.2,1.2,mm,NA,NA,yes,NA,narrowly campanulate or turbinate-campanulate,1.4,1.4,2.6,3,mm,NA,NA,NA,NA,NA,NA,4.5,8.5,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,41,NA,mm,pink or crimson,NA,present,NA,NA,present,,
