filename,created_at,taxon,taxon_original,Check,habit,root_system,height_min,height_low,height_high,height_max,height_unit,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,bisexual_flowers_presence,male_flowers_presence,heteromorphic_flower_presence,sterile_flower_presence,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit.,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_min,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,anther_gland_presence,stemonozone_presence,stamen_tube_presence,staminal_tube_presence,intrastaminal_nectary_presence,nectary_presence,clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0062.txt,2025-10-02T19:18:18.466183,Abarema_levelii,Abarema levelii,1,trees,NA,NA,8,10,NA,m,capitula,NA,NA,4,10,NA,cm,NA,NA,NA,NA,NA,NA,20,33,NA,mm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,campanulate,3,3,3.5,NA,mm,NA,NA,0.5,NA,mm,11.5,11.5,15.5,15.5,mm,NA,4,4,NA,mm,NA,1.3,1.3,NA,mm,30,NA,4.5,NA,NA,cm,white,NA,present,NA,present,NA,yes,Inga clade
"Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia. Rico Arce, Lulu & Bachman, Steven. (2006). A taxonomic revision of Acaciella (Leguminosae, Mimosoideae). Anales del Jardín Botánico de Madrid. 63. 189-244. 10.3989/ajbm.2006.v63.i2.7. ",,Acaciella_angustissima,Acacia angustissima,1,"shrubs, trees",,NA,3,12,NA,m,capitulum like racemes,Axillary fascicles,,,NA,NA,mm,NA,NA,NA,NA,,NA,1,1.3,1.5,cm,5,NA,0.6,0.8,NA,mm,NA,NA,NA,NA,,,,,,,NA,0.5,0.8,NA,mm,NA,NA,,NA,,NA,4.5,NA,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,>200,NA,6,NA,NA,mm,,eglandular,,,,,Basal nectary in ovary,Calliandra clade
"Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",,Acaciella_tequilana,Acacia tequilana,1,Perennial herbs or shrub,,NA,3,4,5,m,Capitulum like racemes,,,15,18,22,mm,NA,NA,NA,NA,,1.5,2.5,3.5,4.5,cm,5,NA,1,2,NA,mm,NA,NA,NA,NA,,,,,,,NA,0.7,NA,NA,mm,NA,NA,,NA,,NA,3,NA,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,>200,NA,6,NA,NA,mm,white(?),eglandular,,,,,Nectary disc in ovary,Calliandra clade
"Nielsen, I. C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1–226.",,Adenanthera_microsperma,Adenanthera microsperma,1,tree,,NA,NA,30,NA,m,raceme,,,65,115,250,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,1.5,3,NA,mm,NA,NA,NA,NA,,,,,,,NA,0.5,0.75,NA,mm,NA,NA,,NA,,NA,2.5,3.5,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,3,4.5,NA,mm,,yes,no,,,,,Adenanthera clade
"Brenan, J. P. M. (1986). The genus Adenopodia (Leguminosae). Kew bulletin, 73-90.",,Adenopodia_spicata,Adenopodia spicata,1,"climbing shrub, scrambling shrub",,6,NA,NA,NA,m,spike,"often paniculately aggregated, solitary or few in a cluster",,1.5,5,NA,cm,NA,NA,NA,NA,,NA,8,35,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,1,1.2,NA,,NA,NA,0.1,NA,,NA,1.5,1.7,NA,mm,NA,1,NA,NA,mm,NA,NA,NA,NA,,10,NA,NA,NA,NA,,,yes,,,,,,Mimosa clade
"du Puy, D. J., Labat, J. N., Rabevohitra, R., Villiers, J. F., Bosser, J., & Moat, J. (2002). The leguminosae of Madagascar. The Leguminosae of Madagascar.",,Alantsilodendron_mahafalense,Alantsilodendron mahafalense,1,shrub,,4,NA,NA,NA,m,head,,,NA,NA,NA,,NA,NA,NA,NA,,NA,20,25,NA,mm,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,1,1.5,NA,mm,NA,NA,,NA,,NA,3,3.25,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,0.6,1.6,NA,mm,,no,,,,,,Dichrostachys clade
"Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.",,Albizia_aurisparsa,Albizia aurisparsa,1,tree,,NA,10,15,NA,m,head,panicle,,NA,NA,NA,,NA,NA,NA,NA,,NA,1.7,3,NA,cm,5,NA,0.5,2.25,NA,mm,NA,NA,NA,NA,,Mostly bisexual,Central flower male,,,Narrowly obconical,NA,3,NA,NA,mm,NA,NA,,NA,,NA,NA,6.5,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,14.5,24,NA,mm,White to pink or reddish at the apex,no,,,,,,Albizia clade
"Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.",,Albizia_bernieri,Albizia bernieri,1,Shrub or tree,,NA,25,NA,NA,m,,head,,NA,NA,NA,,NA,NA,NA,NA,,NA,2,4.5,NA,cm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,Central flower male,,,Cylindrical to slightly obconical,NA,1.5,2,NA,mm,NA,NA,,NA,,NA,5,7.5,10,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,19.5,27,NA,mm,,no,,,,,,Albizia clade
"Nielsen, I. C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1–226.",,Albizia_carrii,Albizia carrii,1,tree,,NA,32,NA,NA,m,corymbs,pedunculate flowers bearing corymbs,,NA,NA,NA,,NA,NA,NA,NA,,NA,25,50,NA,mm,5,NA,4,6,NA,mm,NA,NA,NA,NA,,bisexual,,dimorphic,,funnel-shaped,NA,3,3.5,NA,mm,NA,NA,0.5,NA,mm,NA,7,NA,NA,mm,NA,3,NA,NA,mm,NA,NA,NA,NA,,numerous,25,NA,NA,NA,mm,white,eglandular,,Stamens united into a tube at the base,,,,Albizia clade
"Wu, Z. & Raven, P.H. (eds.) (2010). Flora of China 10: 1-642. Science Press (Beijing) & Missouri Botanical Garden Press (St. Louis).",,Albizia_chevalieri,Albizia chevalieri,,,,NA,NA,NA,NA,,,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,
