taxon,taxon_coded,filename,created_at,phylogeny,habit,root_system,height_min,height_low,height_high,height_max,height_unit,extrafloral_nectaries_presence,extrafloral_nectaries_location,extrafloral_nectary_length_min,extrafloral_nectary_length_low,extrafloral_nectary_length_high,extrafloral_nectary_length_max,extrafloral_nectary_length_unit,extrafloral_nectary_width_min,extrafloral_nectary_width_low,extrafloral_nectary_width_high,extrafloral_nectary_width_max,extrafloral_nectary_width_unit,extrafloral_nectary_shape,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_organization,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,inflorescence_peduncle_width_min,inflorescence_peduncle_width_low,inflorescence_peduncle_width_high,inflorescence_peduncle_width_max,inflorescence_peduncle_width_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit,corolla_shape,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,style_length_min,style_length_low,style_length_high,style_length_max,style_length_unit
Mimosa myriadenia,Mimosa_myriadenia,Barneby_1991_Sensitivae_Censitae_treatment_0001.txt,"2025-07-09T10:43:09,657",1,"vines,shrubs",,,1,2,,m,present,"leaf-stalk, pinna-rachises",,0.3,0.5,,mm,,1.3,3.5,,mm,"patelliform elliptic, tub-shaped, cupular",amentiform spikelike racemes,,,,,,,,3,4,,mm,paniculate,3,3,7,,cm,,,,,,5-merous,0.1,,0.45,,mm,,,,,,campanulate,0.5,0.5,0.7,0.7,mm,0.1,0.1,0.3,0.3,mm,turbinate,,1.3,1.8,,mm,0.7,0.9,,mm,,0.5,0.7,,mm,,,1.2,2.5,3,mm,white,,,,,
Mimosa myriadenia var. punctulata,Mimosa_myriadenia_punctulata,Barneby_1991_Sensitivae_Censitae_treatment_0002.txt,"2025-07-09T10:44:23,591",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa myriadenia var. myriadenia,Mimosa_myriadenia_myriadenia,Barneby_1991_Sensitivae_Censitae_treatment_0003.txt,"2025-07-09T10:45:37,633",0,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa myriadenia var. desquamata,Mimosa_myriadenia_desquamata,Barneby_1991_Sensitivae_Censitae_treatment_0004.txt,"2025-07-09T10:46:53,397",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa myriadenia var. dispersa,Mimosa_myriadenia_dispersa,Barneby_1991_Sensitivae_Censitae_treatment_0005.txt,"2025-07-09T10:48:03,858",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa myriadenia var. egena,Mimosa_myriadenia_egena,Barneby_1991_Sensitivae_Censitae_treatment_0006.txt,"2025-07-09T10:49:14,519",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa annularis,Mimosa_annularis,Barneby_1991_Sensitivae_Censitae_treatment_0007.txt,"2025-07-09T10:50:34,658",0,shrubs,,,3,10,30,m,present,"near base of petiole and on lfstk close below 1-2 furthermost pairs of pinnae, always on pinna-rachises below furthest pair (or sometimes several pairs) of lfts",1,,2.6,,mm,0.8,,2.5,,mm,"ovoid or flask-shaped, or less often broad-based depressed",capitula,globose,,,,,,4,4,5,5,mm,panicle,,4,11,,mm,,,,,,4- or 5-merous,,,,,,,,,,,campanulate,0.6,0.6,0.8,0.8,mm,,,,,,turbinate,,1.7,2.3,,mm,0.6,0.9,,mm,,0.4,0.6,,mm,8,,2,4,,mm,white,,,,,
Mimosa annularis var. odora,Mimosa_annularis_odora,Barneby_1991_Sensitivae_Censitae_treatment_0008.txt,"2025-07-09T10:51:48,102",0,Climbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa annularis var. annularis,Mimosa_annularis_annularis,Barneby_1991_Sensitivae_Censitae_treatment_0009.txt,"2025-07-09T10:53:00,930",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa annularis var. xinguensis,Mimosa_annularis_xinguensis,Barneby_1991_Sensitivae_Censitae_treatment_0010.txt,"2025-07-09T10:54:17,015",0,climbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
