"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","Phylo_nitfix","NGS_acacia","flora_AUS_traits"
"Acacia_latisepala","shrub",NA,"","","","","","","","",NA,"",NA,"","","","","",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_pruinosa","shrub or tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,"",600,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_debilis","shrub or tree",NA,"Heads",NA,NA,NA,NA,NA,NA,"triangular to rounded-triangular",NA,NA,NA,NA,NA,NA,NA,"",600,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_blayana","Tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_schinoides","Shrub or tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_polybotrya","shrub",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_chinchillensis","shrub",NA,"","","","","","","","",NA,"",NA,"","","","","",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_cangaiensis","Shrub or tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_spectabilis","Shrub or tree",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_glaucocarpa","Shrub or tree",NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_elata","Tree",NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"Acacia_terminalis","shrub",NA,"racemes or false-panicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_terminalis","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_leptoclada","shrub",NA,"","","","","","","","",NA,"",NA,"","","","","",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_pubescens","shrub",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_baileyana","Shrub or tree",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
