"clade","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","Phylo_nitfix","NGS_acacia","flora_AUS_traits"
"1","Acacia_olgana","Shrub or small tree",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,"spathulate",NA,NA,NA,NA,NA,NA,NA,NA,600,2.75,NA,NA,NA,NA,0.075,NA,0.15,NA,NA,NA,1,0,1
"1","Acacia_jibberdingensis","shrub or small tree",NA,"spikes",NA,"4-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,2.75,0.6,0.85,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_rhetinocarpa","shrub",NA,"simple","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_rhigiophylla","Shrub",NA,"spikes",NA,"4-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,0.75,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_beauverdiana","shrub",NA,"simple","short-obloid to globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,0.7,0.6,0.275,0.275,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_aulacophylla","Shrub",NA,"heads","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,0.55,0.55,0.65,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_orthocarpa","Shrub or small tree",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,2.05,NA,NA,NA,NA,0.065,NA,0.115,NA,NA,NA,1,0,1
"1","Acacia_trineura","shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,0.6,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_cracentis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_verticillata","shrub or erect tree",NA,"spikes","ovoid or globular","4-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,4.5,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
