"Name_submitted","Overall_score","Name_matched","Accepted_name","Keep","Altered"
"Mimosa watsonii var. watsonii",0.59957384396743,"Mimosa watsonii","Mimosa watsonii",NA,NA
"Mimosa extensa extensa",0.96021221090168,"Mimosa extensa var. extensa","Mimosa extensa var. extensa",NA,NA
"Mimosa adenophylla var. adenophylla",0.59957384396743,"Mimosa adenophylla","Mimosa pteridifolia",NA,NA
"Mimosa gemmulata var. gemmulata",0.59957384396743,"Mimosa gemmulata","Mimosa gemmulata",NA,NA
"Mimosa bimucronata var. bimucronata",0.59957384396743,"Mimosa bimucronata","Mimosa bimucronata",NA,NA
"Mimosa gracilis subsp. capillipes var. capillipes",0.77149326622765,"Mimosa gracilis subsp. capillipes","Mimosa gracilis subsp. capillipes",NA,NA
"Mimosa gracilis subsp. capillipes var. invisiformis",0.77149326622765,"Mimosa gracilis subsp. capillipes","Mimosa gracilis subsp. capillipes",NA,NA
"Mimosa gracilis subsp. gracilis var. gracilis",0.77149326622765,"Mimosa gracilis subsp. gracilis","Mimosa gracilis subsp. gracilis",NA,NA
"Mimosa gracilis subsp. gracilis var. brevissima",0.77149326622765,"Mimosa gracilis subsp. gracilis","Mimosa gracilis subsp. gracilis",NA,NA
"Mimosa gracilis subsp. filiformis var. filiformis",0.77149326622765,"Mimosa gracilis subsp. filiformis","Mimosa gracilis var. filiformis",NA,NA
"Mimosa gracilis subsp. filiformis var. stipitata",0.77149326622765,"Mimosa gracilis subsp. filiformis","Mimosa gracilis var. filiformis",NA,NA
"Mimosa gracilis subsp. filiformis var. longipes",0.77149326622765,"Mimosa gracilis subsp. filiformis","Mimosa gracilis var. filiformis",NA,NA
"Mimosa gracilis subsp. filiformis var. leiocarpa",0.77149326622765,"Mimosa gracilis subsp. filiformis","Mimosa gracilis var. filiformis",NA,NA
"Mimosa quadrivalvis var. orbaniana",0.98899831109563,"Mimosa quadrivalvis var. urbaniana","Mimosa quadrivalvis var. urbaniana",NA,NA
"Mimosa quadrivalvis var. paw cijuga",0.5,"Mimosa quadrivalvis","Mimosa quadrivalvis",NA,NA
"Mimosa invisa subsp. invisa var. invisa",0.77149326622765,"Mimosa invisa subsp. invisa","Mimosa invisa subsp. invisa",NA,NA
"Mimosa invisa subsp. invisa var. macrostachya",0.77149326622765,"Mimosa invisa subsp. invisa","Mimosa invisa subsp. invisa",NA,NA
"Mimosa invisa subsp. spicifiora var. spiciflora",0.71774996129235,"Mimosa invisa subsp. spiciflora","Mimosa invisa subsp. spiciflora",NA,NA
"Mimosa invisa subsp. spiciflora var. tovarensis",0.77149326622765,"Mimosa invisa subsp. spiciflora","Mimosa invisa subsp. spiciflora",NA,NA
"Mimosa antioquiensis",0.98850510141534,"Mimosa antioquensis","Mimosa antioquensis",NA,NA
"Mimosa setosa subsp. paludosa var. palndosa",0.77149326622765,"Mimosa setosa subsp. paludosa","Mimosa paludosa",NA,NA
"Mimosa setosa subsp. paludosa var. metadenotricha",0.77149326622765,"Mimosa setosa subsp. paludosa","Mimosa paludosa",NA,NA
"Mimosa setosa subsp. setosa",0.96021221090168,"Mimosa setosa var. setosa","Mimosa setosa var. setosa",NA,NA
"Mimosa setosa subsp. setosa var. setosa",0.61422004211051,"Mimosa setosa var. setosa","Mimosa setosa var. setosa",NA,NA
"Mimosa setosa subsp. setosa var. pseudomelas",0.61422004211051,"Mimosa setosa var. setosa","Mimosa setosa var. setosa",NA,NA
"Mimosa setosa subsp. setosa var. nitens",0.61422004211051,"Mimosa setosa var. setosa","Mimosa setosa var. setosa",NA,NA
"Mimosa setosa subsp. setosa var. rupigena",0.61422004211051,"Mimosa setosa var. setosa","Mimosa setosa var. setosa",NA,NA
"Mimosa setosa subsp. urbica var. urbica",0.77149326622765,"Mimosa setosa subsp. urbica","Mimosa urbica",NA,NA
"Mimosa setosa subsp. urbica var. urbana",0.77149326622765,"Mimosa setosa subsp. urbica","Mimosa urbica",NA,NA
"Mimosa foliolosa subsp. foliolosa var. pubescens",0.77149326622765,"Mimosa foliolosa subsp. foliolosa","Mimosa foliolosa subsp. foliolosa",NA,NA
"Mimosa foliolosa subsp. foliolosa var. franciscana",0.77149326622765,"Mimosa foliolosa subsp. foliolosa","Mimosa foliolosa subsp. foliolosa",NA,NA
"Mimosa foliolosa subsp. foliolosa var. foliolosa",0.77149326622765,"Mimosa foliolosa subsp. foliolosa","Mimosa foliolosa subsp. foliolosa",NA,NA
"Mimosa foliolosa subsp. foliolosa var. brevipinna",0.77149326622765,"Mimosa foliolosa subsp. foliolosa","Mimosa foliolosa subsp. foliolosa",NA,NA
"Mimosa foliolosa subsp. foliolosa var. corpulenta",0.77149326622765,"Mimosa foliolosa subsp. foliolosa","Mimosa foliolosa subsp. foliolosa",NA,NA
"Mimosa foliolosa subsp. pachycarpa var. multipinaa",0.77149326622765,"Mimosa foliolosa subsp. pachycarpa","Mimosa foliolosa var. pachycarpa",NA,NA
"Mimosa foliolosa subsp. pachycarpa var. cercadoensis",0.77149326622765,"Mimosa foliolosa subsp. pachycarpa","Mimosa foliolosa var. pachycarpa",NA,NA
"Mimosa foliolosa subsp. pachycarpa var. foederalis",0.77149326622765,"Mimosa foliolosa subsp. pachycarpa","Mimosa foliolosa var. pachycarpa",NA,NA
"Mimosa foliolosa subsp. pachycarpa var. gravida",0.77149326622765,"Mimosa foliolosa subsp. pachycarpa","Mimosa foliolosa var. pachycarpa",NA,NA
"Mimosa foliolosa subsp. pachycarpa var. pachycarpa",0.77149326622765,"Mimosa foliolosa subsp. pachycarpa","Mimosa foliolosa var. pachycarpa",NA,NA
"Mimosa foliolosa subsp. pachycarpa var. viscidula",0.77149326622765,"Mimosa foliolosa subsp. pachycarpa","Mimosa foliolosa var. pachycarpa",NA,NA
"Mimosa foliolosa subsp. pachycarpa var. vernicosa",0.77149326622765,"Mimosa foliolosa subsp. pachycarpa","Mimosa foliolosa var. pachycarpa",NA,NA
