Name_submitted,Overall_score,Name_matched,Accepted_name,Keep,Altered
Mimosa watsonii var. watsonii,0.599573844,Mimosa watsonii,Mimosa watsonii,1,NA
Mimosa extensa extensa,0.960212211,Mimosa extensa var. extensa,Mimosa extensa var. extensa,1,NA
Mimosa adenophylla var. adenophylla,0.599573844,Mimosa adenophylla,Mimosa pteridifolia,1,NA
Mimosa gemmulata var. gemmulata,0.599573844,Mimosa gemmulata,Mimosa gemmulata,1,NA
Mimosa bimucronata var. bimucronata,0.599573844,Mimosa bimucronata,Mimosa bimucronata,1,NA
Mimosa gracilis subsp. capillipes var. capillipes,0.771493266,Mimosa gracilis subsp. capillipes,Mimosa gracilis subsp. capillipes,1,1
Mimosa gracilis subsp. capillipes var. invisiformis,0.771493266,Mimosa gracilis subsp. capillipes,Mimosa gracilis var. invisiformis,1,1
Mimosa gracilis subsp. gracilis var. gracilis,0.771493266,Mimosa gracilis subsp. gracilis,Mimosa gracilis subsp. gracilis,1,NA
Mimosa gracilis subsp. gracilis var. brevissima,0.771493266,Mimosa gracilis subsp. gracilis,Mimosa gracilis var. brevissima,1,1
Mimosa gracilis subsp. filiformis var. filiformis,0.771493266,Mimosa gracilis subsp. filiformis,Mimosa gracilis var. filiformis,1,1
Mimosa gracilis subsp. filiformis var. stipitata,0.771493266,Mimosa gracilis subsp. filiformis,Mimosa gracilis var. stipitata,1,1
Mimosa gracilis subsp. filiformis var. longipes,0.771493266,Mimosa gracilis subsp. filiformis,Mimosa gracilis var. longipes,1,1
Mimosa gracilis subsp. filiformis var. leiocarpa,0.771493266,Mimosa gracilis subsp. filiformis,Mimosa gracilis var. leiocarpa,1,1
Mimosa quadrivalvis var. orbaniana,0.988998311,Mimosa quadrivalvis var. urbaniana,Mimosa quadrivalvis var. urbaniana,1,NA
Mimosa quadrivalvis var. paw cijuga,0.5,Mimosa quadrivalvis,Mimosa quadrivalvis var. paucijuga,1,1
Mimosa invisa subsp. invisa var. invisa,0.771493266,Mimosa invisa subsp. invisa,Mimosa invisa subsp. invisa,1,NA
Mimosa invisa subsp. invisa var. macrostachya,0.771493266,Mimosa invisa subsp. invisa,Mimosa invisa var. macrostachya,1,NA
Mimosa invisa subsp. spicifiora var. spiciflora,0.717749961,Mimosa invisa subsp. spiciflora,Mimosa invisa subsp. spiciflora,1,NA
Mimosa invisa subsp. spiciflora var. tovarensis,0.771493266,Mimosa invisa subsp. spiciflora,Mimosa invisa var. tovarensis,1,NA
Mimosa antioquiensis,0.988505101,Mimosa antioquensis,Mimosa antioquensis,1,NA
