"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"1","Mimosa myriadenia",1,"1587642","Mimosa myriadenia",1,"species","","",NA,"(Benth.) Benth.","Fabaceae","Mimosa","Mimosa",1,"myriadenia","myriadenia",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508366-1","","Y","Accepted","Mimosa myriadenia","Mimosa myriadenia","(Benth.) Benth.","1587642","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508366-1","","Fabaceae","1","1","wcvp","0",""
"2","Mimosa myriadenia var. punctulata",1,"1596580","Mimosa myriadenia var. punctulata",1,"variety","","",NA,"(Spruce ex Benth.) Barneby","Fabaceae","Mimosa","Mimosa",1,"myriadenia","myriadenia",1,"","",NA,"var.","punctulata",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967235-1","","Y","Accepted","Mimosa myriadenia var. punctulata","Mimosa myriadenia","(Spruce ex Benth.) Barneby","1596580","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967235-1","","Fabaceae","1","1","wcvp","0",""
"3","Mimosa myriadenia var. myriadenia",1,"1047925","Mimosa myriadenia var. myriadenia",1,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"myriadenia","myriadenia",1,"","",NA,"var.","myriadenia",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190597-1","","Y","Accepted","Mimosa myriadenia var. myriadenia","Mimosa myriadenia","","1047925","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190597-1","","Fabaceae","1","1","wcvp","0",""
"4","Mimosa myriadenia var. desquamata",1,"1369746","Mimosa myriadenia var. desquamata",1,"variety","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"myriadenia","myriadenia",1,"","",NA,"var.","desquamata",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312676-2","","Y","Accepted","Mimosa myriadenia var. desquamata","Mimosa myriadenia","Barneby","1369746","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312676-2","","Fabaceae","1","1","wcvp","0",""
"5","Mimosa myriadenia var. dispersa",1,"1369747","Mimosa myriadenia var. dispersa",1,"variety","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"myriadenia","myriadenia",1,"","",NA,"var.","dispersa",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312677-2","","Y","Accepted","Mimosa myriadenia var. dispersa","Mimosa myriadenia","Barneby","1369747","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312677-2","","Fabaceae","1","1","wcvp","0",""
"6","Mimosa myriadenia var. egena",1,"1340898","Mimosa myriadenia var. egena",1,"variety","","",NA,"J.F.Macbr.","Fabaceae","Mimosa","Mimosa",1,"myriadenia","myriadenia",1,"","",NA,"var.","egena",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161842-2","","Y","Accepted","Mimosa myriadenia var. egena","Mimosa myriadenia","J.F.Macbr.","1340898","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161842-2","","Fabaceae","1","1","wcvp","0",""
"7","Mimosa annularis",1,"172259","Mimosa annularis",1,"species","","",NA,"Spruce ex Benth.","Fabaceae","Mimosa","Mimosa",1,"annularis","annularis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:507645-1","","Y","Accepted","Mimosa annularis","Mimosa annularis","Spruce ex Benth.","172259","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:507645-1","","Fabaceae","1","1","wcvp","0",""
"8","Mimosa annularis var. odora",1,"1369707","Mimosa annularis var. odora",1,"variety","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"annularis","annularis",1,"","",NA,"var.","odora",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312679-2","","Y","Accepted","Mimosa annularis var. odora","Mimosa annularis","Barneby","1369707","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312679-2","","Fabaceae","1","1","wcvp","0",""
"9","Mimosa annularis var. annularis",1,"1048980","Mimosa annularis var. annularis",1,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"annularis","annularis",1,"","",NA,"var.","annularis",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190512-1","","Y","Accepted","Mimosa annularis var. annularis","Mimosa annularis","","1048980","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190512-1","","Fabaceae","1","1","wcvp","0",""
"10","Mimosa annularis var. xinguensis",1,"1369708","Mimosa annularis var. xinguensis",1,"variety","","",NA,"(Ducke) Barneby","Fabaceae","Mimosa","Mimosa",1,"annularis","annularis",1,"","",NA,"var.","xinguensis",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967236-1","","Y","Accepted","Mimosa annularis var. xinguensis","Mimosa annularis","(Ducke) Barneby","1369708","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967236-1","","Fabaceae","1","1","wcvp","0",""
