"Name_submitted","Overall_score","Name_matched","Accepted_name","Keep","Altered"
"Calliandra purdiaei",0.97922049354994,"Calliandra purdiei","Calliandra purdiei",NA,NA
"Calliandra glomerulata var. glomervlata",0.99125249213133,"Calliandra glomerulata var. glomerulata","Calliandra glomerulata var. glomerulata",NA,NA
"Calliandra eriophylla var. eriophyila",0.99025364493243,"Calliandra eriophylla var. eriophylla","Calliandra eriophylla var. eriophylla",NA,NA
"Calliandra tweedii",0.97922049354994,"Calliandra tweediei","Calliandra tweediei",NA,NA
"Calliandra macrocalyx var. aucta",0.97740698358165,"Calliandra macrocalyx var. acuta","Calliandra macrocalyx var. acuta",NA,NA
"Calliandra pilgerana",0.98428510306992,"Calliandra pilgeriana","Calliandra pilgeriana",NA,NA
"Calliandra blanchetli",0.98428510306992,"Calliandra blanchetii","Calliandra blanchetii",NA,NA
"Calliandra haematocephala var. botiyiana",0.97401503856648,"Calliandra haematocephala var. boliviana","Calliandra haematocephala var. boliviana",NA,NA
"Callandra brevicaulis",0.98428510306992,"Calliandra brevicaulis","Calliandra brevicaulis",NA,NA
"Calliandra brevicaulis var. brevieaulis",0.99125249213133,"Calliandra brevicaulis var. brevicaulis","Calliandra brevicaulis var. brevicaulis",NA,NA
"Hydrochorea marginata var. marginata",0.59957384396743,"Hydrochorea marginata","Hydrochorea marginata",NA,NA
"Abarema curvicarpa var. curvicarpa",0.59957384396743,"Abarema curvicarpa","Jupunba curvicarpa",NA,NA
"Abarema microcalyx var. microcalyx",0.59957384396743,"Abarema microcalyx","Jupunba microcalyx",NA,NA
"Abarema barbouriana var. barbourtana",0.59957384396743,"Abarema barbouriana","Jupunba barbouriana",NA,NA
"Abarema zollerana",0.98428510306992,"Abarema zolleriana","Jupunba zolleriana",NA,NA
"Abarema leucophylla var. leucophylla",0.59957384396743,"Abarema leucophylla","Jupunba leucophylla",NA,NA
"Abarema leucophylla var. vanpesensis",0.99125249213133,"Abarema leucophylla var. vaupesensis","Jupunba leucophylla var. vaupesensis",NA,NA
"Abarema cochleata var. cochleata",0.59957384396743,"Abarema cochleata","Jupunba cochleata",NA,NA
"Abarema langsdorfii",0.98737368185461,"Abarema langsdorffii","Jupunba langsdorffii",NA,NA
"Abarema alexandri var. alexandri",0.59957384396743,"Abarema alexandri","Jupunba alexandri",NA,NA
"Abarema ricoae",0.5,"Abarema","Abarema",NA,NA
"Abarema agropecuaria",0.5,"Abarema","Abarema",NA,NA
"Leucochloren foederale",0.98737368185461,"Leucochloron foederale","Leucochloron foederale",NA,NA
"Chloroleuson mangense var. tetrazyx",0.9920660349145,"Chloroleucon mangense var. tetrazyx","Chloroleucon mangense var. tetrazyx",NA,NA
"Havardia campylacanthus",0.9752518865735,"Havardia campylacantha","Gretheria campylacantha",NA,NA
"Macrosamanea publramea",0.98210117101673,"Macrosamanea pubiramea","Macrosamanea pubiramea",NA,NA
"Macrosamanea prancel",0.9752518865735,"Macrosamanea prancei","Macrosamanea prancei",NA,NA
"Albizia niopoides var. niopoldes",0.59957384396743,"Albizia niopoides","Pseudalbizzia niopoides",NA,NA
"Albizia berteriana",0.98428510306992,"Albizia berteroana","Pseudalbizzia berteroana",NA,NA
"Albizia plistaciifolia",0.98945108257249,"Albizia pistaciifolia","Pseudalbizzia pistaciifolia",NA,NA
"Albizia subdimidiata var. subdimidiata",0.59957384396743,"Albizia subdimidiata","Pseudalbizzia subdimidiata",NA,NA
"Albizia multiflora var. multiflora",0.59957384396743,"Albizia multiflora","Pseudalbizzia multiflora",NA,NA
"Pithecelloblum roseum",0.98945108257249,"Pithecellobium roseum","Pithecellobium roseum",NA,NA
"Pithecellobium roseum var. roseum",0.59957384396743,"Pithecellobium roseum","Pithecellobium roseum",NA,NA
"Zygia macbridii",0.98210117101673,"Zygia macbridei","Zygia macbridei",NA,NA
"Zygia englesingii",0.98599670627294,"Zygia engelsingii","Zygia engelsingii",NA,NA
"Zygla rhytidecarpa",0.92982141636831,"Zygia rhytidocarpa","Zygia rhytidocarpa",NA,NA
"Zygla cupirensis",0.96021221090168,"Zygia cupirensis","Zygia cupirensis",NA,NA
"Zygia pithecolobloides",0.99094303083965,"Zygia pithecolobioides","Zygia pithecolobioides",NA,NA
"Acacia aroma var. aroma",0.73597222385822,"Acacia adoxa var. adoxa","Acacia adoxa var. adoxa",NA,NA
"Acacia AROMA var. HUARANGO",0.9,"Acacia aroma","Vachellia aroma",NA,NA
"Acacia pachyphloia subsp. pachyphloia",0.59957384396743,"Acacia pachyphloia","Vachellia pachyphloia",NA,NA
"Acacia retinodes var. retinodes",0.59957384396743,"Acacia retinodes","Acacia retinodes",NA,NA
"Acacia juncifolia subsp. juncifolia",0.59957384396743,"Acacia juncifolia","Acacia juncifolia",NA,NA
"Acacia purpureopetala",0.98945108257249,"Acacia purpureapetala","Acacia purpureapetala",NA,NA
"Acacia resinicostata",0.98850510141534,"Acacia resinocostata","Acacia resinocostata",NA,NA
"Acacia robinae",0.97922049354994,"Acacia robiniae","Acacia robiniae",NA,NA
"Acacia longispicata subsp. longispicata",0.59957384396743,"Acacia longispicata","Acacia longispicata",NA,NA
"Acacia macdonnellensis",0.99094303083965,"Acacia macdonnelliensis","Acacia macdonnelliensis",NA,NA
"Acacia macdonnellensis subsp. macdonnellensis",0.98737368185461,"Acacia macdonnelliensis subsp. macdonnelliensis","Acacia macdonnelliensis subsp. macdonnelliensis",NA,NA
"Acacia macdonnellensis subsp. teretifolia",0.99421856919141,"Acacia macdonnelliensis subsp. teretifolia","Acacia macdonnelliensis subsp. teretifolia",NA,NA
"Acacia coolgardiensis subsp. coolgardiensis",0.59957384396743,"Acacia coolgardiensis","Acacia coolgardiensis",NA,NA
"Acacia acuminata subsp. acuminata",0.59957384396743,"Acacia acuminata","Acacia acuminata",NA,NA
"Acacia longifolia subsp. longifolia",0.59957384396743,"Acacia longifolia","Acacia longifolia",NA,NA
"Acacia galioides var. galioides",0.59957384396743,"Acacia galioides","Acacia galioides",NA,NA
"Inga salicifoliola",0.97265030347668,"Inga salicifolia","Inga salicifolia",NA,NA
"Inga bourgonii",0.98210117101673,"Inga bourgoni","Inga bourgoni",NA,NA
"Inga jinicuil",1,"Inga jinicuil",NA,NA,NA
"Inga exalata subsp. exalata",0.59957384396743,"Inga exalata","Inga exalata",NA,NA
"Inga adenophyila",0.98599670627294,"Inga adenophylla","Inga adenophylla",NA,NA
"Inga subnuda subsp. luschnathiana",0.99274138290395,"Inga subnuda subsp. lushnathiana","Inga subnuda subsp. lushnathiana",NA,NA
