Name_submitted,Overall_score,Name_matched,Accepted_name,Keep,Altered
Calliandra purdiaei,0.979220494,Calliandra purdiei,Calliandra purdiei,1,NA
Calliandra glomerulata var. glomervlata,0.991252492,Calliandra glomerulata var. glomerulata,Calliandra glomerulata var. glomerulata,1,NA
Calliandra eriophylla var. eriophyila,0.990253645,Calliandra eriophylla var. eriophylla,Calliandra eriophylla var. eriophylla,1,NA
Calliandra tweedii,0.979220494,Calliandra tweediei,Calliandra tweediei,1,NA
Calliandra macrocalyx var. aucta,0.977406984,Calliandra macrocalyx var. acuta,Calliandra macrocalyx var. acuta,1,NA
Calliandra pilgerana,0.984285103,Calliandra pilgeriana,Calliandra pilgeriana,1,NA
Calliandra blanchetli,0.984285103,Calliandra blanchetii,Calliandra blanchetii,1,NA
Calliandra haematocephala var. botiyiana,0.974015039,Calliandra haematocephala var. boliviana,Calliandra haematocephala var. boliviana,1,NA
Callandra brevicaulis,0.984285103,Calliandra brevicaulis,Calliandra brevicaulis,1,NA
Calliandra brevicaulis var. brevieaulis,0.991252492,Calliandra brevicaulis var. brevicaulis,Calliandra brevicaulis var. brevicaulis,1,NA
Hydrochorea marginata var. marginata,0.599573844,Hydrochorea marginata,Hydrochorea marginata,1,NA
Abarema curvicarpa var. curvicarpa,0.599573844,Abarema curvicarpa,Jupunba curvicarpa,1,NA
Abarema microcalyx var. microcalyx,0.599573844,Abarema microcalyx,Jupunba microcalyx,1,NA
Abarema barbouriana var. barbourtana,0.599573844,Abarema barbouriana,Jupunba barbouriana,1,NA
Abarema zollerana,0.984285103,Abarema zolleriana,Jupunba zolleriana,1,NA
Abarema leucophylla var. leucophylla,0.599573844,Abarema leucophylla,Jupunba leucophylla,1,NA
Abarema leucophylla var. vanpesensis,0.991252492,Abarema leucophylla var. vaupesensis,Jupunba leucophylla var. vaupesensis,1,NA
Abarema cochleata var. cochleata,0.599573844,Abarema cochleata,Jupunba cochleata,1,NA
