"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"1","Calliandra pittieri",1,"163092","Calliandra pittieri",1,"species","","",NA,"Standl.","Fabaceae","Calliandra","Calliandra",1,"pittieri","pittieri",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42259-2","","Y","Accepted","Calliandra pittieri","Calliandra pittieri","Standl.","163092","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42259-2","","Fabaceae","1","1","wcvp","0",""
"2","Calliandra pittieri var. pittieri",1,"192305","Calliandra pittieri var. pittieri",1,"variety","","",NA,"","Fabaceae","Calliandra","Calliandra",1,"pittieri","pittieri",1,"","",NA,"var.","pittieri",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77223814-1","","Y","Accepted","Calliandra pittieri var. pittieri","Calliandra pittieri","","192305","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77223814-1","","Fabaceae","1","1","wcvp","0",""
"3","Calliandra pittieri var. polyphylla",1,"192306","Calliandra pittieri var. polyphylla",1,"variety","","",NA,"(Harms) Barneby","Fabaceae","Calliandra","Calliandra",1,"pittieri","pittieri",1,"","",NA,"var.","polyphylla",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1010228-1","","Y","Accepted","Calliandra pittieri var. polyphylla","Calliandra pittieri","(Harms) Barneby","192306","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1010228-1","","Fabaceae","1","1","wcvp","0",""
"4","Calliandra purdiaei",0.97922049354994,"163095","Calliandra purdiei",0.97922049354994,"species","","",NA,"Benth.","Fabaceae","Calliandra","Calliandra",1,"purdiaei","purdiei",0.875,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42269-2","","Y","Accepted","Calliandra purdiei","Calliandra purdiei","Benth.","163095","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42269-2","","Fabaceae","1","1","wcvp","0",""
"5","Calliandra glomerulata",1,"163048","Calliandra glomerulata",1,"species","","",NA,"H.Karst.","Fabaceae","Calliandra","Calliandra",1,"glomerulata","glomerulata",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42169-2","","Y","Accepted","Calliandra glomerulata","Calliandra glomerulata","H.Karst.","163048","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42169-2","","Fabaceae","1","1","wcvp","0",""
"6","Calliandra glomerulata var. glomervlata",0.99125249213133,"192310","Calliandra glomerulata var. glomerulata",0.99125249213133,"variety","","",NA,"","Fabaceae","Calliandra","Calliandra",1,"glomerulata","glomerulata",1,"","",NA,"var.","glomerulata",0.90909090909091,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77223317-1","","","Accepted","Calliandra glomerulata var. glomerulata","Calliandra glomerulata","","192310","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77223317-1","","Fabaceae","1","1","wcvp","0",""
"7","Calliandra glomerulata var. parvifolia",1,"192309","Calliandra glomerulata var. parvifolia",1,"variety","","",NA,"(Benth.) Barneby","Fabaceae","Calliandra","Calliandra",1,"glomerulata","glomerulata",1,"","",NA,"var.","parvifolia",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1010229-1","","Y","Accepted","Calliandra glomerulata var. parvifolia","Calliandra glomerulata","(Benth.) Barneby","192309","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1010229-1","","Fabaceae","1","1","wcvp","0",""
"8","Calliandra cruegeri",1,"192313","Calliandra cruegeri",1,"species","","",NA,"Griseb.","Fabaceae","Calliandra","Calliandra",1,"cruegeri","cruegeri",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42130-2","","Y","Accepted","Calliandra cruegeri","Calliandra cruegeri","Griseb.","192313","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42130-2","","Fabaceae","1","1","wcvp","0",""
"9","Calliandra tolimensis",1,"163122","Calliandra tolimensis",1,"species","","",NA,"Taub. ex Hieron.","Fabaceae","Calliandra","Calliandra",1,"tolimensis","tolimensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42324-2","","Y","Accepted","Calliandra tolimensis","Calliandra tolimensis","Taub. ex Hieron.","163122","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42324-2","","Fabaceae","1","1","wcvp","0",""
"10","Calliandra laxa",1,"171806","Calliandra laxa",1,"species","","",NA,"(Willd.) Benth.","Fabaceae","Calliandra","Calliandra",1,"laxa","laxa",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1161746-2","","Y","Accepted","Calliandra laxa","Calliandra laxa","(Willd.) Benth.","171806","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1161746-2","","Fabaceae","1","1","wcvp","0",""
