"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"1","Abarema acreana",1,"205953","Abarema acreana",1,"species","","",NA,"(J.F.Macbr.) L.Rico","Fabaceae","Abarema","Abarema",1,"acreana","acreana",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1012720-1","","Y","Synonym","Hydrochorea acreana","Hydrochorea acreana","(J.F.Macbr.) Barneby & J.W.Grimes","190061","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:989345-1","","Fabaceae","1","1","wcvp","0",""
"2","Abarema cochliacarpos",1,"1725079","Abarema cochliacarpos",1,"species","","",NA,"(Gomes) Barneby & J.W.Grimes","Fabaceae","Abarema","Abarema",1,"cochliacarpos","cochliacarpos",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1020872-2","","Y","Accepted","Abarema cochliacarpos","Abarema cochliacarpos","(Gomes) Barneby & J.W.Grimes","1725079","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1020872-2","","Fabaceae","1","1","wcvp","0",""
"3","Abarema langsdorffii",1,"1221631","Abarema langsdorffii",1,"species","","",NA,"(Benth.) Barneby & J.W.Grimes","Fabaceae","Abarema","Abarema",1,"langsdorffii","langsdorffii",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:989383-1","","Y","Synonym","Jupunba langsdorffii","Jupunba langsdorffii","(Benth.) M.V.B.Soares, M.P.Morim & Iganci","1431282","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77218791-1","","Fabaceae","1","1","wcvp","0",""
"4","Acacia abyssinica",1,"184745","Acacia abyssinica",1,"species","","",NA,"Hochst. ex Benth.","Fabaceae","Acacia","Acacia",1,"abyssinica","abyssinica",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:469622-1","","Y","Synonym","Vachellia abyssinica","Vachellia abyssinica","(Hochst. ex Benth.) Kyal. & Boatwr.","1305086","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77131675-1","","Fabaceae","1","1","wcvp","0",""
"5","Acacia acatlensis",1,"161886","Acacia acatlensis",1,"species","","",NA,"Benth.","Fabaceae","Acacia","Acacia",1,"acatlensis","acatlensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:382-2","","Y","Synonym","Mariosousa acatlensis","Mariosousa acatlensis","(Benth.) Seigler & Ebinger","1262082","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60446090-2","","Fabaceae","1","1","wcvp","0",""
"6","Acacia adenocalyx",1,"185114","Acacia adenocalyx",1,"species","","",NA,"Brenan & Exell","Fabaceae","Acacia","Acacia",1,"adenocalyx","adenocalyx",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:469650-1","","Y","Synonym","Senegalia adenocalyx","Senegalia adenocalyx","(Brenan & Exell) Kyal. & Boatwr.","1304806","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77130756-1","","Fabaceae","1","1","wcvp","0",""
"7","Acacia allenii",1,"162294","Acacia allenii",1,"species","","",NA,"D.H.Janzen","Fabaceae","Acacia","Acacia",1,"allenii","allenii",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:391-2","","Y","Synonym","Vachellia allenii","Vachellia allenii","(D.H.Janzen) Seigler & Ebinger","1260356","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60441187-2","","Fabaceae","1","1","wcvp","0",""
"8","Acacia amythethophylla",1,"185508","Acacia amythethophylla",1,"species","","",NA,"Steud. ex A.Rich.","Fabaceae","Acacia","Acacia",1,"amythethophylla","amythethophylla",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:469703-1","","Y","Synonym","Vachellia amythethophylla","Vachellia amythethophylla","(Steud. ex A.Rich.) Kyal. & Boatwr.","1305090","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77131681-1","","Fabaceae","1","1","wcvp","0",""
"9","Acacia angustissima",1,"179606","Acacia angustissima",1,"species","","",NA,"(Mill.) Kuntze","Fabaceae","Acacia","Acacia",1,"angustissima","angustissima",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:399-2","","Y","Synonym","Acaciella angustissima","Acaciella angustissima","(Mill.) Britton & Rose","179913","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:712-2","","Fabaceae","1","1","wcvp","0",""
"10","Acacia anisophylla",1,"1036490","Acacia anisophylla",1,"species","","",NA,"S.Watson","Fabaceae","Acacia","Acacia",1,"anisophylla","anisophylla",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:412-2","","Y","Synonym","Senegalia anisophylla","Senegalia anisophylla","(S.Watson) Britton & Rose","1037832","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518238-1","","Fabaceae","1","1","wcvp","0",""
