"species","Priority","Trait.reference","Link.to.reference","Trait.extraction.method","OBS","Habit","Height (m)","Leaf duration (evergreen/deciduous [usually not mentioned in the description])","Brachyblast presence [a proxy for leaf duration; sometimes described as ""short shoot""]","Prickles presence (are corky projections from a plant's skin, or dermal tissue.)","Stipular spines presence","stipule spine length(mm)","stipule spine width (mm)","stipule length (mm)","stipule width (mm)","Leaf length (mm)","Petiole length (mm)","Petiole extra-floral nectary presence","Rachis length (mm)","Rachis extra-floral nectary presence","Number of pinnae pairs (integer)","Pinnae length (mm)","Pinnae rachis length (mm)","Pinna extra-floral nectary presence","Number of leaflet pairs (integer)","Leaflet length (mm)","Leaflet width (mm)","Leaflet shape (text)","Leaflet base shape (text)","Leaflet apex shape (text)","Extrafloral nectary (in general)","Peduncle length (mm)","Pedicel (mm)","Inflorescence length (mm)","Infloresence main rachis length (mm)","Inflorescence width (mm)","Inflorescence shape (text)","Inflorescence arrangement / synflorescence (text)","Calyx merism (integer [sometimes not available when minute and gamosepalous])","Calyx length (mm)","Calyx lobe length (mm)","Calyx lobe width (mm)","Corolla merism (integer)","Corolla length (mm)","Corolla lobe length (mm)","Corolla lobe width (mm)","Flower color","Corolla color (text)","Number of stamens (integer)","Stamen/fillament length (mm)","Stamen color","Anther length (mm)","Anther width (mm)","Anther color","Anther gland presence","Nectary presence","Ovary length (mm)","Ovary width (mm)","Style length (mm)","Stigma shape","Fruit type (text)","Fruit length (mm)","Fruit width (mm)","Fruit thickness (mm)","Fruit shape (text)","Fruit base shape (text)","Fruit apex shape (text)","Fruit color","Number of Seeds","Seed length (mm)","Seed width (mm)","Seed thickness (mm)","Seed shape","Seed color (text)","Source used","traits scored specifically for this species","Varieties present (scored before the use of phylogeny highlighted orange)","refercence notes"
"Hydrochorea_acreana","Low","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=0","automatic",NA,"tree","± 25-30",NA,NA,"no","no",NA,NA,"0",NA,NA,"40-65","yes",NA,NA,"4-5",NA,"90-150",NA,"4-6","± 35-62","16-37","acrescent distally, obtusely rhombic-ovate","inequallateral, broadly rounded","very shortly acuminate, obscurely acuminate, obtuse","yes","20-33","2.5-5",NA,"70-180",NA,"umbiliform racemes","corymbose-paniculate or umbiliform racemes",NA,"±2-4.5","0.4-.8",NA,NA,"± 4-7","1-14","0.8-0.9",NA,NA,"10-12","±12-15.5",NA,NA,NA,NA,NA,NA,"± 0.5",NA,"~13-15.5","wide at apex","pod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same","yes",NA,NA
"Abarema_cochliacarpos","Low","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=1","automatic",NA,"tree, shrubs","2-30",NA,NA,NA,NA,NA,NA,"< 1.2",NA,NA,"(5-)8-30(-36)","yes",NA,NA,"2-4(-5)",NA,"30-75(-85)",NA,"3-4(-5)","25-60","14-26(-30)","obovate, obovate-elliptic, elliptic, shortly acuminute","subequilaterally cuneate","very obutse, emarginate","yes","(30-)40-115",NA,NA,NA,NA,"capitula",NA,"5","1.6-2.2(-2.8)","0.2-0.5","0.5-0.7","5","5.5-6.5","1.5-2.2","0.7-1","greenish white",NA,"20-25","13-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod",NA,NA,NA,"undulately linear, evenly recurved into a ring, flat spiral",NA,NA,NA,"8-12","±7","±6",NA,"broadly obovoid, compressed but plump","ivory-white, brown","same","yes",NA,NA
"Jupunba_langsdorffii","Low","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=2","automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vachellia_abyssinica","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mariosousa_acatlensis","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senegalia_adenocalyx","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vachellia_allenii","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vachellia_amythethophylla","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaciella_angustissima","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,"shrubs, trees",NA,NA,NA,"no",NA,NA,NA,NA,"<0.5",NA,NA,"no",NA,NA,">2",NA,NA,NA,NA,"3(8)",NA,"usually linear, linear-oblong",NA,NA,NA,NA,NA,"<600",NA,NA,"racemes","capitulum like racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"legume",NA,NA,NA,"flat, linear, narrowly oblong",NA,NA,NA,NA,NA,NA,NA,"not longer than broad, lenticular in outline, almost spherical",NA,"https://www.dropbox.com/s/tu4gddsbkveteno/Rico-Arce_and_Bachman-2006-%20A%20taxonomic%20revision%20of%20Acaciella%20%28Leguminosae%2C%20Mimosoideae%29%20.pdf?dl=0","yes",NA,NA
"Senegalia_anisophylla","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
