"filename","created_at","taxon","taxon_original","method","habit","root_system","height_min","height_low","height_high","height_max","height_unit","inflorescence_type","inflorescence_shape","inflorescence_length_min","inflorescence_length_low","inflorescence_length_high","inflorescence_length_max","inflorescence_length_unit","inflorescence_width_min","inflorescence_width_low","inflorescence_width_high","inflorescence_width_max","inflorescence_width_unit","inflorescence_peduncle_length_min","inflorescence_peduncle_length_low","inflorescence_peduncle_length_high","inflorescence_peduncle_length_max","inflorescence_peduncle_length_unit","flower_merosity","pedicel_length_min","pedicel_length_low","pedicel_length_high","pedicel_length_max","pedicel_length_unit","pedicel_width_min","pedicel_width_low","pedicel_width_high","pedicel_width_max","pedicel_width_unit","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","calyx_length_min","calyx_length_low","calyx_length_high","calyx_length_max","calyx_length_unit","calyx_lobe_length_min","calyx_lobe_length_low","calyx_lobe_length_high","calyx_lobe_length_max","calyx_lobe_length_unit.","corolla_length_min","corolla_length_low","corolla_length_high","corolla_length_max","corolla_length_unit","corolla_lobe_length_min","corolla_lobe_length_low","corolla_lobe_length_high","corolla_lobe_length_max","corolla_lobe_length_unit","corolla_lobe_width_min","corolla_lobe_width_low","corolla_lobe_width_high","corolla_lobe_width_max","corolla_lobe_width_unit","stamen_count","filament_length_min","filament_length_low","filament_length_high","filament_length_max","filament_length_unit","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","obs"
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0022.txt","2025-10-02T16:55:29.206627","Calliandra_californica","Calliandra californica","automatic","shrubs",NA,0.5,0.8,2,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,17,20,"mm","5",0.15,NA,0.6,0.8,"mm",0.3,NA,0.6,NA,"mm",NA,"some staminate only","homomorphic",NA,"campanulate or hemispherical",1,1.2,1.7,NA,"mm",NA,NA,NA,NA,NA,5.5,5.8,7.2,NA,"mm",1.6,1.8,2.4,NA,"mm",NA,NA,NA,NA,NA,"17(30)",NA,NA,NA,NA,NA,"red-crimson",NA,"present",NA,NA,NA,"",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0035.txt","2025-10-02T17:03:44.737853","Calliandra_bella","Calliandra bella","automatic","arborescent shrubs",NA,NA,2,6,NA,"m","capituliform racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,7.5,NA,"cm",NA,0.7,0.7,2.4,NA,"mm",0.6,0.6,1.5,NA,"mm",NA,NA,"yes",NA,"campanulate",2,2,4.3,4.3,"mm",0.4,0.4,"1",1,"mm",NA,7,9,NA,"mm",NA,2.8,3.7,NA,"mm",NA,NA,NA,NA,NA,NA,NA,3.5,5.8,NA,"cm","white",NA,"present",NA,NA,"absent","",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0037.txt","2025-10-02T17:05:03.883037","Calliandra_dysantha","Calliandra dysantha","automatic","subshrubs","xylopodium",1.5,2,14,20,"dm","capitula",NA,NA,2,3.5,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",0.8,NA,5.2,NA,"mm",NA,NA,NA,NA,NA,NA,"yes","yes",NA,"turbinate",4,4,7.5,8,"mm",0.4,0.4,"3",NA,"mm",8.5,10,14,15,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.3,5.7,6.5,"cm","blood-red",NA,"present",NA,NA,"absent","",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0063.txt","2025-10-02T17:21:19.583063","Calliandra_caeciliae","Calliandra caeciliae","automatic","frees",NA,NA,2,6,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,15,17,"mm","4 (5)-merous",0.1,NA,0.5,NA,"mm",0.4,NA,0.6,NA,"mm",NA,"staminate","variably homoor heteromorphic",NA,"campanulate or deeply campanulate",1.2,1.2,2.1,2.8,"mm",0.1,0.1,"0.25",0.25,"mm",NA,NA,NA,NA,"mm",NA,0.8,1.5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,22,29,NA,"mm","pallid proximally, carmine",NA,NA,NA,NA,NA,"",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0082.txt","2025-10-02T17:33:10.305449","Calliandra_mollissima","Calliandra mollissima","automatic","shrubs and treefets",NA,2,NA,4,NA,"m","capitula",NA,NA,11,27,NA,"mm",NA,NA,NA,NA,NA,6,11,27,NA,"mm","4 (5)-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,"campanulate",1.4,1.4,2,2,"mm",0.15,0.15,"0.4",0.4,"mm",NA,4.3,5.4,NA,"mm",NA,0.6,1.6,NA,"mm",NA,NA,NA,NA,NA,NA,NA,26,33,NA,"mm","white",NA,"present",NA,NA,"present","",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0109.txt","2025-10-02T17:49:39.922003","Calliandra_brenesii","Calliandra brenesii","automatic","shrubs",NA,NA,2,3,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.5,NA,"cm","3-4-merous",0.3,0.3,0.9,NA,"mm",0.4,0.4,0.6,NA,"mm",NA,NA,NA,NA,"campanulate",2.8,2.8,3,3,"mm",0.3,0.3,"0.9",0.9,"mm",NA,9,10.5,NA,"mm",NA,2,3.2,NA,"mm",NA,NA,NA,NA,NA,NA,NA,2.9,3.6,NA,"cm","scarlet",NA,"present",NA,NA,"present","",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0112.txt","2025-10-02T17:51:30.971338","Calliandra_longipes","Calliandra longipes","automatic","subshrubs","rhizomes",NA,1,3,NA,"dm","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mm",6,NA,18,NA,"cm",NA,0.3,0.3,0.8,0.8,"mm",0.6,0.6,0.8,0.8,"mm",NA,NA,"homomorsphic",NA,NA,2.4,2.4,2.7,2.7,"mm",0.45,0.45,"1.2",1.2,"mm",8.5,NA,13.3,NA,"mm",2.4,NA,2.8,NA,"mm",NA,NA,NA,NA,NA,NA,21,21,33,33,"mm","whitish",NA,"present","present",NA,"no","",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0122.txt","2025-10-02T17:58:55.195029","Calliandra_brevicaulis","Callandra brevicaulis","automatic","subshrubs","lignescent rootstock",NA,1,4,7,"dm","capitula","umbelliform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,10.5,NA,"cm","5",NA,5,26,NA,"mm",NA,0.4,1.1,NA,"mm",NA,NA,"dimorphic",NA,"narrowly or openly campanulate",3,3,5.2,6,"mm",0.4,0.8,"1.4",1.4,"mm",8.2,9,14,NA,"mm",NA,2.5,4.5,NA,"mm",NA,NA,NA,NA,NA,"34",4.5,4.5,6,7,"cm",NA,NA,"present",NA,NA,"no","",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0127.txt","2025-10-02T18:01:58.247088","Calliandra_bahiana","Calliandra bahiana","automatic","shrubs",NA,NA,1.6,3,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cm","4 (5)-merous",0.6,NA,1,NA,"mm",2.5,NA,3.7,NA,"mm",NA,NA,NA,NA,"shallowly campanulate",3,NA,8,NA,"mm",NA,0.6,"1.2",2,"mm",NA,9,13,14,"mm",NA,4.5,5.5,7,"mm",NA,NA,NA,NA,NA,NA,2.8,3.2,4.4,NA,"mm","white rubescent",NA,"present",NA,"present","absent","",NA
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0160.txt","2025-10-02T18:23:06.158558","Calliandra_erubescens","Calliandra erubescens","automatic","Shrubs",NA,NA,1.5,3,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,5,NA,"cm","2444-merous",NA,0.6,0.7,NA,"mm",NA,1,2,NA,"mm",NA,NA,NA,NA,"shallowly campanulate",1.4,1.4,1.7,1.7,"mm",0.3,0.3,"0.5",0.5,"mm",NA,5,6.2,NA,"mm",NA,2,3,NA,"mm",NA,NA,NA,NA,NA,NA,NA,2.4,3,NA,"cm","rubescent",NA,"present",NA,"present","absent","",NA
