"genero","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","na_percent","n_target"
"Abarema","Abarema_levelii","trees",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"campanulate","30","white",NA,"present",NA,"present",NA,"",900,7,NA,2.65,NA,NA,0.325,0.05,1.35,0.4,0.13,NA,41.3793103448276,2
"Acaciella","Acaciella_tequilana","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Acaciella","Acaciella_hartwegii","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Adenanthera","Adenanthera_malayana","tree","","raceme","","5","","","","","","10","whitish turning yellow","","","","","","",4500,115,NA,NA,1,NA,0.65,0.2,2.75,NA,NA,4,17.2413793103448,2
"Adenanthera","Adenanthera_microsperma","tree","","raceme","","5","","","","","","10","","","","","","","",3000,90,NA,NA,2.25,NA,0.625,NA,3,NA,NA,3.75,20.6896551724138,2
"Adenopodia","Adenopodia_scelerata","climbing shrub","","spike","paniculately aggregated","","","","","","","","","","","","","","",8000,NA,NA,14,NA,NA,0.9,0.1,NA,1.75,NA,NA,24.1379310344828,1
"Alantsilodendron","Alantsilodendron_mahafalense","shrub","","head","","","","","","","","","","no","","","","","",400,NA,NA,22.5,NA,NA,1.25,NA,3.125,NA,NA,1.1,24.1379310344828,2
"Albizia","Albizia_arenicola","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,9
"Albizia","Albizia_amara","tree","","","","","","","","","","","","","","","","","",1350,NA,NA,NA,NA,NA,1.5,NA,5.25,NA,NA,8.5,27.5862068965517,9
"Albizia","Albizia_zygia","tree","","","","","","","","","","","red","","","","","","",2500,NA,NA,NA,0.375,NA,3,NA,7.5,NA,NA,14,24.1379310344828,9
