"clade","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","na_percent"
1,"Paraserianthes_lophantha","trees",NA,"racemes",NA,"5-merous",NA,NA,"homomorphic",NA,"shallowly campanulate","96","greenishor lemon-yellow",NA,"obscure",NA,NA,NA,"",800,5.75,NA,1.5,NA,NA,0.26,0.08,0.61,0.22,0.145,1.475,41.3793103448276
2,"Archidendron_utile","shrubs, rarely trees","","panicled head","","","","","","","","","","","","","","","",150,NA,NA,NA,NA,NA,2.25,NA,7,1.5,NA,NA,27.5862068965517
3,"Archidendron_jiringa","shrub, tree","","consisting of glomerules or small spikes","consisting of glomerules or small spikes aggregated into panicles","5","","","","","","","","","","","","","",2100,NA,NA,NA,NA,NA,1.5,0.25,4.5,2,NA,9,20.6896551724138
4,"Archidendron_ellipticum","tree, shrub","","terminal and axillary at the distal leaves, consisting of pedunculate glomerules","terminal and axillary at the distal leaves, consisting of pedunculate glomerules aggregated into panicles","5","","","","","","","white","","","","","","",1450,NA,NA,NA,NA,NA,3.25,0.75,6.75,3,NA,6,20.6896551724138
5,"Archidendron_robinsonii","tree","","panicled head","","","","","","","","","","","","","","","",850,NA,NA,12.5,NA,NA,5.75,NA,10.5,4.5,NA,NA,24.1379310344828
6,"Archidendron_chevalieri","tree","","panicled, pedunculate","terminal or axillary, narrow panicled, peduncle","5","","","","","","46","","","","","","","",350,NA,NA,15.5,NA,NA,2.75,NA,5,NA,NA,15,24.1379310344828
7,"Archidendron_scutiferum","tree, shrub","","consisting of pedunculate glomerules","consisting of pedunculate glomerules, aggregated into panicles","5","","","","","","","white","","","","","","",2000,NA,NA,NA,NA,NA,1.85,0.35,5,2.4,NA,7.5,20.6896551724138
8,"Archidendron_glomeriflorum","tree, shrub","","pedunculate","","","","","","","","","","","","","","","",500,NA,NA,30,NA,NA,1.3,0.3,4,2.25,NA,NA,20.6896551724138
9,"Archidendron_ptenopum","tree","","consisting of simple or once-branched pedunculate umbles or corymbs","","5","","","","","","","white","","","","","","",1125,NA,NA,NA,4.5,NA,3,NA,10.75,6,NA,16,20.6896551724138
10,"Archidendron_glabrum","shrub, tree","","long, slender, racemes","","5","","","","","","","white","","","","","","",700,450,NA,NA,22.5,NA,2.5,1,7.5,3,NA,17.5,13.7931034482759
11,"Pararchidendron_pruinosum","tree, shrub","","consisting of axillary pedunculate corymbs","","5","","","","","","numerous","white, cream","","","","","","",18,NA,NA,65,4.5,NA,1.5,0.8,6.1,0.75,NA,12,13.7931034482759
12,"Archidendropsis_granulosa","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
13,"Archidendropsis_fournieri","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
14,"Wallaceodendron_celebicum","tree","","racemes solitary, racemes paired","","","","","","","","","white","","","","","","",45,165,NA,105,9,NA,4,NA,14.25,4.5,NA,37.5,13.7931034482759
15,"Falcataria_falcata","tree","","spikes","panicle of spikes","5 (6)","","","","","","84","","","","","","","",2500,NA,NA,NA,0,NA,2.55,27.5,6.6,3.2,1.75,16,13.7931034482759
16,"Inga_tenuicalyx","tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,"55","white",NA,NA,NA,"present",NA,"",500,2.75,NA,4.25,NA,NA,0.8,0.35,1.15,0.15,NA,2,55.1724137931034
16,"Inga_adenophylla","tree","","spike","axillary, a congested spike","","","","","","","45","","","","","","","",NA,NA,NA,60,0.25,NA,NA,2,NA,3.5,NA,25,24.1379310344828
16,"Inga_lallensis","tree",NA,"umbellate","globose",NA,NA,NA,NA,NA,"cup-shaped","40",NA,NA,NA,NA,"present",NA,"",800,0.4,NA,5.5,0.275,NA,NA,0.0375,NA,0.125,NA,0.85,55.1724137931034
16,"Inga_umbratica","tree",NA,"umbellate",NA,NA,NA,NA,NA,NA,"tubular","20","white",NA,NA,NA,"present",NA,"",2000,NA,NA,0.75,0.2875,NA,NA,0.0275,NA,0.1125,NA,0.9,58.6206896551724
16,"Inga_stenoptera","tree",NA,"spike",NA,NA,NA,NA,NA,NA,"tubular to narrowly funnel-shaped","40","cream-coloured",NA,NA,"present","present",NA,"",1750,1.25,NA,3.75,NA,NA,NA,0.125,NA,0.225,NA,1.5,55.1724137931034
16,"Inga_maritima","Shrub or small tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,"35","white",NA,NA,NA,"present",NA,"",700,2.5,NA,2.25,NA,NA,NA,0.05,NA,0.2,NA,1.2,62.0689655172414
16,"Inga_microcalyx","tree",NA,"spike","congested",NA,NA,NA,NA,NA,"cup-shaped","30","white",NA,NA,NA,"present",NA,"",800,3,NA,8.5,0.025,NA,NA,0.025,NA,0.175,NA,1.25,51.7241379310345
16,"Inga_alba","tree","","spike","axillary, often clustered on short leafless axillary shoots, congested spike","","","","","","","25","","","","","","","",NA,NA,NA,12,NA,NA,NA,0.25,NA,0.75,NA,5.25,27.5862068965517
16,"Inga_mortoniana","tree",NA,"capitate",NA,NA,NA,NA,NA,NA,"tubular or narrowly funnel-shaped, often slightly curved","45","pure white",NA,NA,"present",NA,NA,"",1500,NA,NA,3.5,NA,NA,NA,0.06,0.95,0.15,NA,0.85,58.6206896551724
16,"Inga_blanchetiana","Tree",NA,"spike or raceme","congested",NA,NA,NA,NA,NA,NA,"75","white",NA,NA,"present","present",NA,"",2000,1.75,NA,1.75,0.2,NA,NA,NA,NA,0.3,NA,2.65,55.1724137931034
16,"Inga_cordatoalata","tree",NA,"racemose",NA,NA,NA,NA,NA,NA,"cup-shaped","40","white",NA,NA,NA,"present",NA,"",3000,4.25,NA,1.55,0.075,NA,NA,0.025,NA,0.1,NA,0.6,55.1724137931034
16,"Inga_oerstediana","tree","","spike","axillary, often clustered at the apex, or in the axils of undeveloped leaves on axillary shoots, a congested spike","","","","","","","60","","","","","","","",NA,NA,NA,45,NA,NA,NA,0.75,NA,2.5,NA,17.5,27.5862068965517
16,"Inga_nobilis",NA,NA,"spike, capitulum or umbel","globose, clavate or unexpanded",NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,"present","present",NA,"",NA,1.1,NA,4.25,0.85,NA,NA,NA,NA,0.175,NA,1.6,62.0689655172414
16,"Inga_barbata","tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,"35","white",NA,NA,NA,"present",NA,"",1200,1.5,NA,3.75,NA,NA,NA,NA,NA,0.3,NA,2,65.5172413793103
16,"Inga_sertulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"tubular","50",NA,NA,NA,"present","present",NA,"",NA,NA,NA,5,1.35,NA,NA,0.055,NA,0.225,NA,1.4,65.5172413793103
16,"Inga_samanensis","tree",NA,"spike",NA,NA,NA,NA,NA,NA,"tubular","33","white",NA,NA,"present","present",NA,"",2000,1.7,NA,1.05,NA,NA,NA,0.025,NA,0.125,NA,1,55.1724137931034
16,"Inga_herrerae","tree",NA,"a congested spike",NA,NA,NA,NA,NA,NA,NA,"80",NA,NA,NA,"present",NA,NA,"",1500,2.5,NA,1.75,NA,NA,NA,NA,NA,0.35,NA,1.75,68.9655172413793
16,"Inga_bullatorugosa","small tree",NA,"umbellate","globose",NA,NA,NA,NA,NA,"narrowly funnel-shaped","50",NA,NA,NA,"present","present",NA,"",NA,0.2,NA,0.35,1.25,NA,NA,0.05,NA,0.125,NA,0.95,55.1724137931034
16,"Inga_sierrae","tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,"80","white",NA,NA,NA,"present",NA,"",2000,2.25,NA,6,NA,NA,NA,0.2,NA,0.4,NA,2.25,62.0689655172414
16,"Inga_tonduzii","Tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,"100","pale cream-coloured",NA,NA,"present","present",NA,"",2500,2.5,NA,2.15,NA,NA,NA,NA,NA,0.45,NA,3,62.0689655172414
16,"Inga_golfodulcensis","tree",NA,"congested spike",NA,NA,NA,NA,NA,NA,"funnel-shaped","40",NA,NA,NA,NA,"present",NA,"",2500,0.45,NA,1.35,0.05,NA,0.225,0.025,NA,0.15,NA,NA,58.6206896551724
17,"Inga_ruiziana","tree",NA,"congested spike",NA,NA,NA,NA,NA,NA,NA,"50","white",NA,NA,NA,"present",NA,"",3000,1,NA,2.65,0.025,NA,NA,0.075,NA,0.175,NA,0.95,58.6206896551724
18,"Inga_umbellifera","tree",NA,"umbellate","globose",NA,NA,NA,NA,NA,"tubular","25","white",NA,NA,NA,"present",NA,"",2000,0.275,NA,3.1,1.35,NA,NA,0.0625,NA,0.175,NA,1.75,51.7241379310345
19,"Inga_filiformis","tree",NA,"capitate","subglobose",NA,NA,NA,NA,NA,NA,"45","white",NA,NA,"present","present",NA,"",1500,0.25,NA,9.75,0.025,NA,NA,0.3,NA,0.2,NA,1.4,51.7241379310345
20,"Inga_arenicola","treelet",NA,"capitate",NA,NA,NA,NA,NA,NA,"funnel-shaped","35",NA,NA,NA,"present","present",NA,"",350,NA,NA,6,0.0625,NA,NA,0.25,0.75,0.125,NA,1,55.1724137931034
21,"Zygia_longifolia","trees",NA,"spikes",NA,"5(-10)-nerved",NA,NA,NA,NA,"campanulate","30","whitish",NA,NA,"present",NA,NA,"",1300,NA,NA,NA,NA,NA,0.105,0.0325,NA,0.095,NA,1.775,58.6206896551724
