"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Abarema_levelii","trees",NA,"capitula",NA,"5",NA,NA,"yes",NA,"campanulate","30","white",NA,"present",NA,"present",NA,"present",900,7,NA,2.65,NA,0.325,0.05,1.35,0.4,0.13,4.5
"Acaciella_angustissima","shrubs, trees","","raceme","Axillary fascicles","5","","","","","","200","","absent","","","","","Basal nectary in ovary",750,NA,NA,1.15,0.07,0.065,NA,0.45,NA,NA,0.6
"Acaciella_tequilana","Perennial herbs or shrub","","Capitulum like racemes","","5","","","","","","200","white(?)","absent","","","","","Nectary disc in ovary",350,1.65,NA,3,0.15,0.07,NA,0.3,NA,NA,0.6
"Adenanthera_microsperma","tree","","raceme","","5","","","","","","10","","present","no","","","","",3000,9,NA,NA,0.225,0.0625,NA,0.3,NA,NA,0.375
"Adenopodia_spicata","climbing shrub, scrambling shrub","","spike","often paniculately aggregated, solitary or few in a cluster","5","","","","","","10","","present","","","","","",600,3.25,NA,2.15,NA,1.1,0.1,0.16,0.1,NA,NA
"Alantsilodendron_mahafalense","shrub","","capitula","","","","","","","","","","absent","","","","","",400,NA,NA,2.25,NA,0.125,NA,0.3125,NA,NA,0.11
"Albizia_aurisparsa","tree","","capitula","panicle","5","Mostly bisexual","Central flower male","","","Narrowly obconical","","White to pink or reddish at the apex","absent","","","","","",1250,NA,NA,2.35,0.1375,0.3,NA,0.65,NA,NA,1.925
"Albizia_bernieri","Shrub or tree","","","head","5","","Central flower male","","","Cylindrical to slightly obconical","","","absent","","","","","",2500,NA,NA,3.25,NA,0.175,NA,0.625,NA,NA,2.325
"Albizia_carrii","tree","","umbell","pedunculate flowers bearing corymbs","5","bisexual","","dimorphic","","funnel-shaped",NA,"white","absent","","Stamens united into a tube at the base","","","",3200,NA,NA,3.75,0.5,0.325,0.05,0.7,0.3,NA,2.5
"Albizia_commiphoroides","shrub or treelet","","capitula","","5","","Central flower male","","","obconical","","white","absent","","","","","",500,NA,NA,0.85,NA,0.125,NA,0.6,NA,NA,2.05
"Albizia_gummifera","tree","","capitula","","5","","","","","","","white, crimson","absent","","","","","",2750,NA,NA,3.75,0.05,0.375,NA,0.925,NA,NA,2.95
"Albizia_julibrissin","trees",NA,"capitula",NA,NA,"bisexual","staminate","dimorphic",NA,"campanulate or deeply campannlate",NA,"red&pink",NA,"the stemonozone 1 mm or less","the filament-tube far-exserted",NA,NA,"",900,6,NA,NA,0.08,0.32,0.05,0.9,0.195,0.105,3.1
"Albizia_kostermansii","tree","","capitula","pedunculate glomerules aggregated into terminal, shortly, tomentose panicles","5","yes","","dimorphic","","",NA,"","absent","","","","","",3000,NA,NA,1.6,NA,0.19,0.015,0.585,0.175,NA,1.5
"Albizia_procera","tree",NA,"capitula","subglobose","5",NA,NA,"homomorphic",NA,"deeply campanulate","30-40","whitish",NA,"present",NA,"present",NA,"",300,NA,NA,1.3,NA,0.295,0.04,0.61,0.17,NA,1
"Albizia_tulearensis","tree","","capitula","","5","bisexual","","","","","","White to cream","absent","","","","Disk adnate to the stamina tube","",1500,NA,NA,2.2,0.25,0.1875,NA,0.6,NA,NA,1.3
