"taxon","clade","habit","inflorescence_type","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","sex_type","nectary","dimorphic_flower"
"Abarema_levelii","Inga clade","trees","capitula","5",NA,NA,"present",NA,"campanulate",30,"white",NA,"present",NA,"present",NA,"present",900,7,NA,2.65,NA,0.325,0.05,1.35,0.4,0.13,4.5,NA,1,1
"Acaciella_angustissima","Calliandra clade","shrubs, trees","raceme","5",NA,NA,NA,NA,NA,200,NA,"absent",NA,NA,NA,NA,"present",750,NA,NA,1.15,0.07,0.065,NA,0.45,NA,NA,0.6,NA,1,0
"Acaciella_tequilana","Calliandra clade","perennial herbs or shrub","raceme","5",NA,NA,NA,NA,NA,200,"white","absent",NA,NA,NA,NA,"present",350,1.65,NA,3,0.15,0.07,NA,0.3,NA,NA,0.6,NA,1,0
"Adenanthera_microsperma","Adenanthera clade","tree","raceme","5",NA,NA,NA,NA,NA,10,NA,"present","absent",NA,NA,NA,NA,3000,9,NA,NA,0.225,0.0625,NA,0.3,NA,NA,0.375,NA,0,0
"Adenopodia_spicata","Mimosa clade","climbing shrub, scrambling shrub","spike","5",NA,NA,NA,NA,NA,10,NA,"present",NA,NA,NA,NA,NA,600,3.25,NA,2.15,NA,1.1,0.1,0.16,0.1,NA,NA,NA,0,0
"Alantsilodendron_mahafalense","Dichrostachys clade","shrub","capitula",NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA,NA,NA,NA,NA,400,NA,NA,2.25,NA,0.125,NA,0.3125,NA,NA,0.11,NA,0,0
"Albizia_aurisparsa","Albizia clade","tree","capitula","5","yes","present",NA,NA,"narrowly obconical",NA,"white&pink","absent",NA,NA,NA,NA,NA,1250,NA,NA,2.35,0.1375,0.3,NA,0.65,NA,NA,1.925,1,0,0
"Albizia_bernieri","Albizia clade","shrub or tree",NA,"5",NA,"present",NA,NA,"cylindrical to slightly obconical",NA,NA,"absent",NA,NA,NA,NA,NA,2500,NA,NA,3.25,NA,0.175,NA,0.625,NA,NA,2.325,1,0,0
"Albizia_carrii","Albizia clade","tree","umbell","5","yes",NA,"present",NA,"funnel-shaped",NA,"white","absent",NA,"stamens united into a tube at the base",NA,NA,NA,3200,NA,NA,3.75,0.5,0.325,0.05,0.7,0.3,NA,2.5,0,0,1
"Albizia_commiphoroides","Albizia clade","shrub or treelet","capitula","5",NA,"present",NA,NA,"obconical",NA,"white","absent",NA,NA,NA,NA,NA,500,NA,NA,0.85,NA,0.125,NA,0.6,NA,NA,2.05,1,0,0
"Albizia_gummifera","Albizia clade","tree","capitula","5",NA,NA,NA,NA,NA,NA,"white","absent",NA,NA,NA,NA,NA,2750,NA,NA,3.75,0.05,0.375,NA,0.925,NA,NA,2.95,NA,0,0
"Albizia_julibrissin","Albizia clade","trees","capitula",NA,"yes","present","present",NA,"campanulate or deeply campannlate",NA,"pink",NA,"present","the filament-tube far-exserted",NA,NA,NA,900,6,NA,NA,0.08,0.32,0.05,0.9,0.195,0.105,3.1,1,0,1
"Albizia_kostermansii","Albizia clade","tree","capitula","5","yes",NA,"present",NA,NA,NA,NA,"absent",NA,NA,NA,NA,NA,3000,NA,NA,1.6,NA,0.19,0.015,0.585,0.175,NA,1.5,0,0,1
"Albizia_procera","Albizia clade","tree","capitula","5",NA,NA,"absent",NA,"deeply campanulate",35,"white",NA,"present",NA,"present",NA,NA,300,NA,NA,1.3,NA,0.295,0.04,0.61,0.17,NA,1,NA,0,0
"Albizia_tulearensis","Albizia clade","tree","capitula","5","yes",NA,NA,NA,NA,NA,"white","absent",NA,NA,NA,"present",NA,1500,NA,NA,2.2,0.25,0.1875,NA,0.6,NA,NA,1.3,0,1,0
"Anadenanthera_peregrina","Parkia clade","tree","capitula","5",NA,NA,NA,NA,NA,10,"white","absent",NA,NA,NA,NA,NA,1500,NA,14,27.5,NA,1.75,NA,2.75,NA,NA,6.5,NA,0,0
"Archidendron_chevalieri","Archidendron clade","tree",NA,"5",NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,1.55,NA,0.275,NA,0.5,NA,NA,1.5,NA,0,0
"Archidendron_ellipticum","Archidendron clade","tree","capitula","5","yes",NA,NA,NA,NA,NA,"white",NA,NA,"Present",NA,NA,NA,1450,NA,NA,NA,NA,0.175,0.075,0.475,0.225,NA,0.6,0,0,0
"Archidendron_glabrum","Archidendron clade","shrub, tree","raceme","5","yes","present",NA,NA,NA,NA,"white",NA,NA,NA,NA,NA,NA,700,45,NA,NA,2.25,0.25,0.1,0.75,0.3,NA,1.75,1,0,0
"Archidendron_glomeriflorum","Archidendron clade","tree, shrub",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,3,NA,0.13,0.03,0.4,0.225,NA,NA,NA,0,0
"Archidendron_jiringa","Archidendron clade","shrub, tree","capitula&spike","5","yes",NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,2100,NA,NA,NA,NA,0.15,0.025,0.45,0.2,NA,0.9,0,0,0
"Archidendron_ptenopum","Archidendron clade","tree","umbell","5","yes",NA,NA,NA,NA,NA,"white",NA,NA,"tube equalling the corolla-tube",NA,NA,NA,1125,NA,NA,NA,0.45,0.3,NA,1.075,0.6,NA,1.6,0,0,0
"Archidendron_robinsonii","","tree","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,NA,NA,1.25,NA,0.575,NA,1.05,0.45,NA,NA,NA,0,0
"Archidendron_scutiferum","Archidendron clade","tree, shrub","capitula","5","yes",NA,NA,NA,NA,NA,"white",NA,NA,"tube equalling or longer than the corolla tube",NA,NA,NA,2000,NA,NA,NA,NA,0.185,0.035,0.5,0.24,NA,0.75,0,0,0
"Archidendron_utile","Archidendron clade","shrubs, rarely trees","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,0.225,NA,0.7,0.15,NA,NA,NA,0,0
"Archidendropsis_fournieri","Archidendron clade","shrubs or tree","capitula","5",NA,NA,NA,NA,NA,NA,NA,"absent",NA,NA,NA,NA,NA,2000,NA,NA,2.4,NA,0.25,0.025,0.775,0.185,NA,NA,NA,0,0
"Archidendropsis_granulosa","Archidendron clade","tree","spike","5",NA,NA,NA,NA,NA,NA,NA,"absent",NA,NA,NA,NA,NA,3000,9.75,NA,NA,NA,0.175,0.015,0.35,0.075,NA,0.85,NA,0,0
"Aubrevillea_kerstingii","Entada clade","tree","raceme",NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.085,NA,0.275,NA,NA,NA,NA,0,0
"Blanchetiodendron_blanchetii","Inga clade","tree","capitula","5",NA,NA,"present",NA,"turbinate-campanulate or somewhat urn-shaped",32,"white",NA,"present","present",NA,NA,"absent",850,0.225,NA,1.05,0.375,0.25,0.0175,0.45,0.18,0.11,1.35,NA,0,1
"Calliandra_bahiana","Calliandra clade","shrubs","capitula","4",NA,NA,"absent",NA,"shallowly campanulate",159,"white","absent","present",NA,"present","absent","absent",230,NA,NA,4.25,0.08,0.55,0.09,1.1,0.5,NA,0.38,NA,0,0
"Calliandra_bella","Calliandra clade","arborescent shrubs","raceme","5",NA,NA,"absent",NA,"campanulate",35,"white","absent","present",NA,"present","absent","absent",400,NA,NA,5,0.155,0.315,0.07,0.8,0.325,NA,4.65,NA,0,0
"Calliandra_brenesii","Calliandra clade","shrubs","capitula","3&4",NA,NA,"absent",NA,"campanulate",27,NA,"absent","present",NA,"present","present",NA,250,NA,NA,2.65,0.06,0.29,0.06,0.975,0.26,NA,3.25,NA,1,0
"Calliandra_brevicaulis","Calliandra clade","functionally herbaceous or subherbaceous, subshrubs","capitula","5",NA,NA,"present",NA,"campanulate",39,NA,"absent","present","Present",NA,"absent",NA,25,NA,NA,6.5,1.55,0.41,0.11,0.86,0.35,NA,5.25,NA,0,1
"Calliandra_caeciliae","Calliandra clade","trees","capitula","4","yes","present",NA,NA,"campanulate or deeply campanulate",12,"red","absent",NA,"present",NA,NA,NA,400,NA,NA,0.8,0.03,0.165,0.0175,0.5,0.115,NA,2.55,1,0,0
"Calliandra_californica","Calliandra clade","shrubs","capitula","5","yes","present","absent",NA,"campanulate or hemispherical",21.5,"pink","absent","present","present",NA,"present",NA,140,NA,NA,1.15,0.0375,0.145,0.025,0.65,0.21,NA,2.05,1,1,0
"Calliandra_comosa","Calliandra clade","shrubs","capitula","4",NA,NA,"absent",NA,"campanulate",34,"white","absent","present","present",NA,"present",NA,175,7,NA,1.1,NA,0.2,0.05,0.6,0.15,NA,1.85,NA,1,0
"Calliandra_dysantha","Calliandra clade","subshrubs","capitula","5",NA,"present","present",NA,"turbinate",72,"pink","absent","present","present",NA,"absent",NA,80,NA,2.75,NA,0.3,0.575,0.17,1.2,0.525,NA,4.5,1,0,1
"Calliandra_erubescens","Calliandra clade","shrubs","capitula",NA,NA,NA,NA,NA,"shallowly campanulate",34,"white","absent","present","present","present","absent",NA,225,NA,NA,3.25,0.065,0.155,0.04,0.56,0.25,NA,2.7,NA,0,0
"Calliandra_longipes","Calliandra clade","functionally herbaceous subshrubs","capitula",NA,NA,NA,"absent",NA,NA,74,"white","absent","present","present",NA,"absent",NA,20,NA,NA,12,0.055,0.255,0.0825,1.09,0.26,NA,2.7,NA,0,0
"Calliandra_mollissima","Calliandra clade","shrubs and treelets","capitula","4",NA,NA,"present",NA,"campanulate",10.5,"white","absent","present","present",NA,"present",NA,300,NA,NA,1.9,NA,0.17,0.0275,0.485,0.11,NA,2.95,NA,1,1
"Calliandropsis_nervosa","Dichrostachys clade","shrub","spike","5","yes",NA,NA,NA,NA,5,"white","absent",NA,NA,"no",NA,NA,100,NA,NA,0.4,NA,0.2,NA,0.375,NA,NA,0.7,0,0,0
"Calpocalyx_cauliflorus","Adenanthera clade","tree","spike",NA,NA,NA,NA,NA,NA,10,NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Calpocalyx_dinklagei","Adenanthera clade","tree","spike","5",NA,NA,NA,NA,NA,10,NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Chidlowia_sanguinea","","tree",NA,"5",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,"present",800,25,NA,NA,0.325,0.2,NA,0.65,NA,NA,2.5,NA,1,0
"Chloroleucon_foliolosum","Samanea clade","arborescent shrubs","capitula","5",NA,NA,"present",NA,"campanulate",11,NA,NA,NA,NA,"present",NA,NA,550,NA,NA,1.35,NA,0.13,0.015,0.42,0.135,0.07,1.225,NA,0,1
"Cojoba_graciliflora","","shrubs or trees","capitula","5",NA,NA,NA,NA,NA,28,NA,NA,"present","present",NA,NA,NA,800,NA,NA,5.3,NA,0.375,0.05,1.25,0.1375,NA,1.75,NA,0,0
"Cylicodiscus_gabunensis","Core Mimosoid clade","tree","spike","5",NA,NA,NA,NA,NA,10,NA,"present",NA,NA,NA,"present",NA,7800,NA,NA,NA,NA,0.1,NA,0.2,NA,NA,NA,NA,1,0
"Desmanthus_fruticosus","Dichrostachys clade","shrub, small tree","spike","5",NA,"present",NA,"present",NA,10,"white","absent",NA,NA,NA,NA,NA,250,1.75,NA,2.65,NA,0.235,0.0375,0.425,NA,NA,0.83,1,0,0
"Entada_elephantina","Entada clade","geoxylic suffrutex with erect annual herbaceous stems","raceme","5",NA,NA,NA,NA,NA,NA,NA,"present","present",NA,NA,NA,"present",55,6,NA,NA,0.15,0.175,NA,0.325,NA,NA,0.65,NA,1,0
"Entada_goetzei","Entada clade","shrub, tree","raceme",NA,NA,NA,NA,NA,NA,NA,NA,"present","present",NA,NA,NA,"present",550,12.5,NA,NA,0.1,0.1625,NA,0.275,NA,NA,0.45,NA,1,0
"Enterolobium_barnebianum","Albizia clade","tree","umbell",NA,NA,NA,"present",NA,NA,9.5,NA,NA,NA,NA,"present",NA,NA,2750,6,NA,NA,0.5,0.25,NA,0.35,NA,NA,0.7,NA,0,1
"Enterolobium_timbouva","Albizia clade","tree","capitula",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,0,0,0
