variable,original_value,n_occurrences,standardized_value
habit,tree,86,tree
habit,trees,22,trees
habit,shrubs,20,shrubs
habit,subshrubs,6,subshrubs
habit,arborescent shrubs,5,arborescent shrubs
habit,shrub,5,shrub
habit,shrub or small tree,5,shrub or small tree
habit,"shrub, tree",5,"shrub, tree"
habit,shrubs and treelets,4,shrubs and treelets
habit,"tree, shrub",4,"tree, shrub"
habit,herbs,3,herbs
habit,shrub or tree,3,shrub or tree
habit,shrub or treelet,2,shrub or treelet
habit,"shrubs, trees",2,"shrubs, trees"
habit,vines,2,vines
habit,almost a tree,1,almost a tree
habit,arborescent shrubs and round-topped trees,1,arborescent shrubs and round-topped trees
habit,arborescent shrubs and trees,1,arborescent shrubs and trees
habit,"climbing shrub, scrambling shrub",1,"climbing shrub, scrambling shrub"
habit,"functionally herbaceous or subherbaceous, subshrubs",1,"functionally herbaceous or subherbaceous, subshrubs"
habit,functionally herbaceous subshrubs,1,functionally herbaceous subshrubs
habit,geoxylic suffrutex with erect annual herbaceous stems,1,geoxylic suffrutex with erect annual herbaceous stems
habit,herb,1,herb
habit,"herbs, bushy shrubs, weakly woody sarmentose vines and treelets",1,"herbs, bushy shrubs, weakly woody sarmentose vines and treelets"
habit,humifuse herbs,1,humifuse herbs
habit,"liana, shrub",1,"liana, shrub"
habit,lianas or straggling shrubs,1,lianas or straggling shrubs
habit,macrophyllidious trees,1,macrophyllidious trees
habit,perennial herbs or shrub,1,perennial herbs or shrub
habit,rosette-trees,1,rosette-trees
habit,scandent shrubs or lianes,1,scandent shrubs or lianes
habit,scrambling or arborescent shrubs,1,scrambling or arborescent shrubs
habit,short-lived perennial herbs,1,short-lived perennial herbs
habit,shrub to small tree,1,shrub to small tree
habit,"shrub, small tree",1,"shrub, small tree"
habit,shrubs and small trees,1,shrubs and small trees
habit,shrubs and trees,1,shrubs and trees
habit,shrubs or tree,1,shrubs or tree
habit,shrubs or treelets,1,shrubs or treelets
habit,shrubs or trees,1,shrubs or trees
habit,"shrubs, rarely trees",1,"shrubs, rarely trees"
habit,"shrubs, subshrubs, sometimes shrub-trees",1,"shrubs, subshrubs, sometimes shrub-trees"
habit,"shrubs, treelets",1,"shrubs, treelets"
habit,small tree,1,small tree
habit,"subshrubs, herbs",1,"subshrubs, herbs"
habit,"subshrubs, shrubs and treelets",1,"subshrubs, shrubs and treelets"
habit,"subshrubs, shrubs and trees",1,"subshrubs, shrubs and trees"
habit,tree or shrub,1,tree or shrub
habit,tree or shrubs,1,tree or shrubs
habit,treelet,1,treelet
habit,treelets,1,treelets
habit,"treelets, trees",1,"treelets, trees"
habit,trees and arborescent shrubs,1,trees and arborescent shrubs
habit,trees and bushy treelets,1,trees and bushy treelets
habit,trees or bushy treelets,1,trees or bushy treelets
habit,trees or potentially sarmentose shrubs,1,trees or potentially sarmentose shrubs
habit,trees or shrubs,1,trees or shrubs
habit,"trees, large erect polypodial shrubs",1,"trees, large erect polypodial shrubs"
root_system,xylopodium,2,xylopodium
root_system,adventitiously rooting,1,adventitiously rooting
root_system,heavy woody rootstock,1,heavy woody rootstock
root_system,rhizomes,1,rhizomes
root_system,woody root-stock,1,woody root-stock
root_system,woody roots or short caudex,1,woody roots or short caudex
root_system,"woody, when young carrot-like, in age knotty and amorphous",1,"woody, when young carrot-like, in age knotty and amorphous"
inflorescence_type,capitula,87,capitula
inflorescence_type,spike,33,spike
inflorescence_type,spikes,21,spike
inflorescence_type,capitate,6,capitula
inflorescence_type,racemes,6,raceme
inflorescence_type,head,5,capitula
inflorescence_type,umbellate,5,umbell
inflorescence_type,fl-spikes,3,spike
inflorescence_type,pedunculate glomerules,3,capitula
inflorescence_type,capitulum like racemes,2,raceme
inflorescence_type,globose head,2,capitula
inflorescence_type,heads,2,capitula
inflorescence_type,panicled head,2,capitula
