"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Calliandra_pittieri","shrubs and trees",NA,"capitula","hemispherical","5",NA,NA,"yes",NA,NA,NA,"pallid at base and crimson distally, rarely crimson throughout",NA,"present",NA,NA,NA,"",2000,NA,0.3,NA,NA,0.65,0.24,0.045,0.95,NA,NA,4.6
"Calliandra_pittieri_pittieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_pittieri_polyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_purdiei","arborescent skrubs",NA,"capitula",NA,"5",NA,NA,"present",NA,NA,NA,"carmine",NA,"present",NA,NA,NA,"",500,NA,0.4,4,0.195,NA,0.625,NA,1.075,0.285,NA,5.45
"Calliandra_glomerulata","shrubs",NA,"capitula",NA,"4 (5)-merous","bisexual","staminate","dimorphic",NA,"campanulate or turbinate-campanulate",NA,"pink-carmine",NA,"obscure","staminal tube present in terminal flower","present in terminal flower","present","",500,0.15,NA,1.1,0.065,0.08,0.25,0.215,0.58,0.215,NA,3.45
"Calliandra_glomerulata_glomerulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",77000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_glomerulata_parvifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_cruegeri","Arborescent shrubs",NA,"capitula","subglobose or claviform",NA,NA,NA,"yes",NA,"campanulate",NA,"whitish proximally, pink distally",NA,"present",NA,NA,"present","",400,NA,NA,0.15,0.0225,NA,0.235,0.0425,0.525,0.17,NA,2.05
"Calliandra_tolimensis","arborescent shrubs",NA,"capitula","clavate or subspherical","5",NA,NA,"yes",NA,"deeply campanulate or narrowly um-shaped","30","white proximally, carmine distally",NA,"present",NA,"present","present","",500,0.55,0.325,5,0.215,0.13,0.5,0.13,1.2,0.45,NA,5.5
"Calliandra_laxa","Arborescent shrubs",NA,"capitula","hemispherical or shortly claviform","5",NA,NA,"yes",NA,"narrowly campanulate or turbinate-campanulate",NA,"pink or crimson",NA,"present",NA,NA,"present","",850,0.175,NA,3.3,0.075,0.09,0.2,NA,0.65,NA,NA,3.35
"Calliandra_laxa_laxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2.05,NA,NA,NA,NA,NA,NA,NA
"Calliandra_laxa_stipulacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_laxa_urimana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",38500,NA,NA,3.25,3.25,NA,NA,NA,NA,NA,NA,NA
"Calliandra_rubescens","shrub",NA,"capitula",NA,"5",NA,NA,"yes",NA,NA,NA,"pallid",NA,"present","present","present","present","",250,NA,NA,2.6,0.0475,0.0875,0.255,0.065,0.705,NA,NA,2.7
